"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"13.10.2023 14:08:40.221"	1.1802e-011	7.0018e-014	2.8643e-013	3.5689e-014	1.7977e-012	7.6108e-014	9.5571e-006	
"13.10.2023 14:08:40.505"	1.1929e-011	6.9064e-014	2.8362e-013	3.4542e-014	1.8117e-012	7.4722e-014	9.5571e-006	
"13.10.2023 14:08:40.788"	1.1978e-011	6.9412e-014	2.8684e-013	3.5141e-014	1.8339e-012	7.7617e-014	9.5571e-006	
"13.10.2023 14:08:41.073"	1.1794e-011	6.9968e-014	2.8597e-013	3.5312e-014	1.7889e-012	7.5125e-014	9.5564e-006	
"13.10.2023 14:08:41.357"	1.1905e-011	6.9470e-014	2.8082e-013	3.4263e-014	1.8050e-012	7.3617e-014	9.5564e-006	
"13.10.2023 14:08:41.640"	1.1988e-011	6.9380e-014	2.7908e-013	3.4641e-014	1.8324e-012	7.5553e-014	9.5564e-006	
"13.10.2023 14:08:41.924"	1.1807e-011	7.0813e-014	2.8823e-013	3.5480e-014	1.7956e-012	7.6083e-014	9.5564e-006	
"13.10.2023 14:08:42.207"	1.1898e-011	7.0289e-014	2.8561e-013	3.4532e-014	1.8116e-012	7.7125e-014	9.5580e-006	
"13.10.2023 14:08:42.491"	1.1989e-011	6.8335e-014	2.8399e-013	3.4667e-014	1.8359e-012	7.7657e-014	9.5580e-006	
"13.10.2023 14:08:42.774"	1.1782e-011	6.9499e-014	2.8370e-013	3.5473e-014	1.7930e-012	7.2715e-014	9.5580e-006	
"13.10.2023 14:08:43.058"	1.1903e-011	7.0281e-014	2.8843e-013	3.4715e-014	1.8121e-012	7.6025e-014	9.5580e-006	
"13.10.2023 14:08:43.341"	1.1995e-011	6.9671e-014	2.8297e-013	3.4866e-014	1.8236e-012	7.4079e-014	9.5579e-006	
"13.10.2023 14:08:43.624"	1.1787e-011	7.0707e-014	2.8697e-013	3.5299e-014	1.7905e-012	7.7046e-014	9.5579e-006	
"13.10.2023 14:08:43.908"	1.1879e-011	6.9807e-014	2.8807e-013	3.5054e-014	1.8054e-012	7.5606e-014	9.5579e-006	
"13.10.2023 14:08:44.191"	1.1971e-011	6.9529e-014	2.8362e-013	3.4698e-014	1.8267e-012	7.4116e-014	9.5579e-006	
"13.10.2023 14:08:44.475"	1.1762e-011	7.0843e-014	2.8432e-013	3.5458e-014	1.7967e-012	7.5479e-014	9.5586e-006	
"13.10.2023 14:08:44.759"	1.1864e-011	6.9739e-014	2.8707e-013	3.5297e-014	1.8055e-012	7.4874e-014	9.5586e-006	
"13.10.2023 14:08:45.042"	1.1978e-011	6.9156e-014	2.8409e-013	3.4915e-014	1.8241e-012	7.4322e-014	9.5586e-006	
"13.10.2023 14:08:45.325"	1.1762e-011	7.0463e-014	2.8218e-013	3.5488e-014	1.8066e-012	7.6263e-014	9.5586e-006	
"13.10.2023 14:08:45.609"	1.1854e-011	6.9347e-014	2.8842e-013	3.5919e-014	1.7961e-012	7.7758e-014	9.5527e-006	
"13.10.2023 14:08:45.892"	1.1975e-011	6.8951e-014	2.8346e-013	3.4423e-014	1.8276e-012	7.6779e-014	9.5527e-006	
"13.10.2023 14:08:46.176"	1.1784e-011	7.1333e-014	2.8687e-013	3.5173e-014	1.8127e-012	7.8125e-014	9.5527e-006	
"13.10.2023 14:08:46.459"	1.1849e-011	6.9925e-014	2.8722e-013	3.5507e-014	1.7997e-012	7.6569e-014	9.5527e-006	
"13.10.2023 14:08:46.743"	1.1937e-011	6.8945e-014	2.8287e-013	3.4510e-014	1.8209e-012	7.6401e-014	9.5569e-006	
"13.10.2023 14:08:47.026"	1.1863e-011	7.0052e-014	2.8890e-013	3.5293e-014	1.8229e-012	7.6661e-014	9.5569e-006	
"13.10.2023 14:08:47.309"	1.1850e-011	7.0172e-014	2.8684e-013	3.6265e-014	1.7952e-012	7.5094e-014	9.5569e-006	
"13.10.2023 14:08:47.593"	1.1948e-011	6.9491e-014	2.8310e-013	3.4404e-014	1.8225e-012	7.8100e-014	9.5534e-006	
"13.10.2023 14:08:47.876"	1.1901e-011	7.0539e-014	2.8662e-013	3.5448e-014	1.8353e-012	7.9314e-014	9.5534e-006	
"13.10.2023 14:08:48.160"	1.1831e-011	6.9332e-014	2.8815e-013	3.5720e-014	1.7992e-012	7.4158e-014	9.5534e-006	
"13.10.2023 14:08:48.443"	1.1941e-011	7.0515e-014	2.8483e-013	3.4589e-014	1.8142e-012	7.6249e-014	9.5534e-006	
"13.10.2023 14:08:48.727"	1.1977e-011	7.0732e-014	2.8672e-013	3.5165e-014	1.8319e-012	7.7679e-014	9.5522e-006	
"13.10.2023 14:08:49.010"	1.1821e-011	6.9528e-014	2.8652e-013	3.5439e-014	1.7966e-012	7.9710e-014	9.5522e-006	
"13.10.2023 14:08:49.294"	1.1922e-011	6.8819e-014	2.8303e-013	3.4548e-014	1.8162e-012	7.5445e-014	9.5522e-006	
"13.10.2023 14:08:49.577"	1.1999e-011	6.8926e-014	2.7805e-013	3.5190e-014	1.8354e-012	7.4716e-014	9.5522e-006	
"13.10.2023 14:08:49.861"	1.1814e-011	6.9063e-014	2.8752e-013	3.5668e-014	1.7936e-012	7.5486e-014	9.5556e-006	
