"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"20.10.2023 15:29:02.035"	1.0887e-011	7.4932e-014	2.8142e-013	3.4843e-014	1.8837e-012	7.5925e-014	1.1236e-005	
"20.10.2023 15:29:02.318"	1.0559e-011	7.6728e-014	2.6577e-013	3.0751e-014	1.8573e-012	7.2385e-014	1.1236e-005	
"20.10.2023 15:29:02.601"	1.0936e-011	7.6390e-014	2.7365e-013	3.2586e-014	1.9518e-012	7.5023e-014	1.1259e-005	
"20.10.2023 15:29:02.885"	1.0433e-011	7.7350e-014	2.6727e-013	3.1434e-014	1.8289e-012	7.4901e-014	1.1259e-005	
"20.10.2023 15:29:03.168"	1.0957e-011	7.4035e-014	2.6946e-013	3.1675e-014	1.9012e-012	7.3036e-014	1.1259e-005	
"20.10.2023 15:29:03.452"	1.0676e-011	7.6002e-014	2.6699e-013	3.1079e-014	1.8848e-012	7.4855e-014	1.1259e-005	
"20.10.2023 15:29:03.736"	1.0638e-011	7.7113e-014	2.7464e-013	3.2841e-014	1.8812e-012	7.6070e-014	1.1246e-005	
"20.10.2023 15:29:04.019"	1.0524e-011	7.6967e-014	2.7152e-013	3.1710e-014	1.8481e-012	7.3562e-014	1.1246e-005	
"20.10.2023 15:29:04.302"	1.0893e-011	7.4314e-014	2.7870e-013	3.3368e-014	1.9849e-012	7.6033e-014	1.1246e-005	
"20.10.2023 15:29:04.586"	1.0594e-011	7.6342e-014	2.7599e-013	3.2610e-014	1.8687e-012	7.6332e-014	1.1246e-005	
"20.10.2023 15:29:04.869"	1.0431e-011	7.7656e-014	2.6945e-013	3.1843e-014	1.8491e-012	7.6970e-014	1.1338e-005	
"20.10.2023 15:29:05.153"	1.0754e-011	7.5570e-014	2.6663e-013	3.1779e-014	1.9116e-012	7.2251e-014	1.1338e-005	
"20.10.2023 15:29:05.436"	1.0556e-011	7.5711e-014	2.7053e-013	3.2208e-014	1.9121e-012	7.5597e-014	1.1338e-005	
"20.10.2023 15:29:05.720"	1.0670e-011	7.6222e-014	2.7362e-013	3.3183e-014	1.8635e-012	7.2832e-014	1.1338e-005	
"20.10.2023 15:29:06.003"	1.0658e-011	7.6113e-014	2.6523e-013	3.1237e-014	1.5752e-012	7.4451e-014	1.1260e-005	
"20.10.2023 15:29:06.286"	1.0995e-011	7.4871e-014	2.7748e-013	3.4118e-014	1.0291e-012	7.3635e-014	1.1260e-005	
"20.10.2023 15:29:06.570"	1.0905e-011	7.4957e-014	2.8625e-013	3.5740e-014	6.8795e-013	6.7493e-014	1.1260e-005	
"20.10.2023 15:29:06.853"	1.1567e-011	7.0678e-014	2.9119e-013	3.6997e-014	5.5880e-013	9.2466e-014	1.1260e-005	
"20.10.2023 15:29:07.137"	1.1189e-011	7.5339e-014	2.9475e-013	3.7632e-014	4.5299e-013	8.0245e-014	1.1275e-005	
"20.10.2023 15:29:07.420"	1.1532e-011	6.9021e-014	3.2229e-013	4.4728e-014	3.9609e-013	6.5961e-014	1.1275e-005	
"20.10.2023 15:29:07.704"	1.1194e-011	7.3520e-014	3.0914e-013	4.1273e-014	3.4316e-013	5.1416e-014	1.1275e-005	
"20.10.2023 15:29:07.987"	1.1305e-011	7.1947e-014	3.3557e-013	4.7621e-014	3.2708e-013	4.5248e-014	1.1278e-005	
"20.10.2023 15:29:08.271"	1.1045e-011	7.3750e-014	3.3150e-013	4.7337e-014	2.7803e-013	3.3745e-014	1.1278e-005	
"20.10.2023 15:29:08.554"	1.1247e-011	7.1820e-014	3.2859e-013	4.6321e-014	2.5160e-013	2.8949e-014	1.1278e-005	
"20.10.2023 15:29:08.839"	1.1381e-011	7.1414e-014	3.3978e-013	5.0245e-014	2.4186e-013	2.6374e-014	1.1278e-005	
"20.10.2023 15:29:09.122"	1.1033e-011	7.2501e-014	3.2874e-013	4.7004e-014	2.0860e-013	2.0878e-014	1.1242e-005	
"20.10.2023 15:29:09.406"	1.1611e-011	6.9859e-014	3.3335e-013	4.6873e-014	1.9406e-013	1.8874e-014	1.1242e-005	
"20.10.2023 15:29:09.689"	1.1322e-011	7.1776e-014	3.2715e-013	4.6536e-014	1.7844e-013	1.6903e-014	1.1242e-005	
"20.10.2023 15:29:09.974"	1.1420e-011	7.1380e-014	3.4090e-013	4.8657e-014	1.6091e-013	1.5198e-014	1.1242e-005	
"20.10.2023 15:29:10.259"	1.1261e-011	7.2506e-014	3.2466e-013	4.4773e-014	1.4355e-013	1.3161e-014	1.1293e-005	
"20.10.2023 15:29:10.542"	1.1406e-011	7.0252e-014	3.4554e-013	5.0564e-014	1.4604e-013	1.3157e-014	1.1293e-005	
"20.10.2023 15:29:10.825"	1.1223e-011	7.2298e-014	3.3255e-013	4.7447e-014	1.1970e-013	1.0718e-014	1.1293e-005	
"20.10.2023 15:29:11.109"	1.1352e-011	7.1328e-014	3.3347e-013	4.7779e-014	1.1735e-013	1.0519e-014	1.1293e-005	
"20.10.2023 15:29:11.392"	1.1488e-011	7.1731e-014	3.2547e-013	4.5330e-014	1.0181e-013	9.0671e-015	1.1305e-005	
"20.10.2023 15:29:11.676"	1.1191e-011	7.2502e-014	3.2754e-013	4.6979e-014	9.4393e-014	8.3518e-015	1.1305e-005	
"20.10.2023 15:29:11.959"	1.1284e-011	7.2114e-014	3.2851e-013	4.6249e-014	8.3545e-014	7.1466e-015	1.1305e-005	
"20.10.2023 15:29:12.243"	1.1494e-011	7.0378e-014	3.4341e-013	5.0289e-014	8.4725e-014	7.3338e-015	1.1305e-005	
"20.10.2023 15:29:12.526"	1.1240e-011	7.1794e-014	3.2886e-013	4.6659e-014	7.1054e-014	5.9414e-015	1.1322e-005	
"20.10.2023 15:29:12.810"	1.1246e-011	7.2559e-014	3.3060e-013	4.6184e-014	6.5269e-014	5.7912e-015	1.1322e-005	
"20.10.2023 15:29:13.093"	1.1645e-011	6.9295e-014	3.2654e-013	4.6364e-014	6.1260e-014	5.3406e-015	1.1322e-005	
"20.10.2023 15:29:13.377"	1.1209e-011	7.3090e-014	3.2427e-013	4.5493e-014	5.5168e-014	4.6194e-015	1.1322e-005	
"20.10.2023 15:29:13.660"	1.1551e-011	7.0787e-014	3.3822e-013	4.9407e-014	5.2539e-014	4.6277e-015	1.1368e-005	
"20.10.2023 15:29:13.944"	1.2157e-011	6.6356e-014	3.4117e-013	4.9849e-014	5.0206e-014	4.3786e-015	1.1368e-005	
"20.10.2023 15:29:14.227"	1.1376e-011	7.3121e-014	3.2137e-013	4.5694e-014	4.3779e-014	3.6395e-015	1.1368e-005	
"20.10.2023 15:29:14.511"	1.1213e-011	7.3607e-014	3.2718e-013	4.5892e-014	3.9294e-014	3.5942e-015	1.1519e-005	
"20.10.2023 15:29:14.794"	1.1301e-011	7.2334e-014	3.2123e-013	4.4426e-014	3.5697e-014	3.1614e-015	1.1519e-005	
"20.10.2023 15:29:15.077"	1.1558e-011	7.1617e-014	3.2780e-013	4.6147e-014	3.4610e-014	2.9552e-015	1.1519e-005	
"20.10.2023 15:29:15.361"	1.1318e-011	7.1762e-014	3.3008e-013	4.6411e-014	3.0495e-014	2.5952e-015	1.1519e-005	
"20.10.2023 15:29:15.644"	1.1957e-011	6.7211e-014	3.3530e-013	4.6741e-014	2.9280e-014	2.5880e-015	1.1380e-005	
"20.10.2023 15:29:15.928"	1.1457e-011	7.2561e-014	3.2061e-013	4.4697e-014	2.6341e-014	2.3842e-015	1.1380e-005	
"20.10.2023 15:29:16.211"	1.1395e-011	7.0851e-014	3.3332e-013	4.7658e-014	2.3996e-014	2.2256e-015	1.1380e-005	
"20.10.2023 15:29:16.494"	1.1426e-011	7.1605e-014	3.2947e-013	4.6418e-014	2.3188e-014	1.9825e-015	1.1380e-005	
"20.10.2023 15:29:16.778"	1.1486e-011	7.0589e-014	3.2481e-013	4.5235e-014	2.1130e-014	1.9169e-015	1.1378e-005	
"20.10.2023 15:29:17.061"	1.1758e-011	6.7970e-014	3.4721e-013	5.1368e-014	1.9727e-014	1.7595e-015	1.1378e-005	
"20.10.2023 15:29:17.345"	1.1366e-011	7.1791e-014	3.2446e-013	4.4537e-014	1.7635e-014	1.5509e-015	1.1378e-005	
"20.10.2023 15:29:17.629"	1.1459e-011	7.0705e-014	3.3369e-013	4.7554e-014	1.7859e-014	1.4412e-015	1.1378e-005	
"20.10.2023 15:29:17.912"	1.1195e-011	7.2966e-014	3.2427e-013	4.5660e-014	1.5587e-014	1.2779e-015	1.1386e-005	
"20.10.2023 15:29:18.196"	1.1395e-011	7.1754e-014	3.2948e-013	4.5607e-014	1.4581e-014	1.3149e-015	1.1386e-005	
"20.10.2023 15:29:18.479"	1.1534e-011	6.9502e-014	3.3671e-013	4.8759e-014	1.4623e-014	1.3185e-015	1.1386e-005	
"20.10.2023 15:29:18.762"	1.1205e-011	7.2627e-014	3.2275e-013	4.5477e-014	1.3031e-014	1.3661e-015	1.1386e-005	
