Sourcefile	20240122 134216 RI_Tuana.qmp
Exporttime	1.22.2024 01:43:29.978 

Start Time	1.22.2024 01:43:03.523 
End Time	1.22.2024 01:43:09.742 

		H2			He			Ar	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
1.22.2024 01:43:03.522 	0.000	7.787359e-007	1.22.2024 01:43:03.574 	0.051	2.148494e-008	1.22.2024 01:43:03.624 	0.101	5.677995e-012
1.22.2024 01:43:03.673 	0.151	7.786288e-007	1.22.2024 01:43:03.724 	0.201	2.149462e-008	1.22.2024 01:43:03.775 	0.252	5.564469e-012
1.22.2024 01:43:03.824 	0.302	7.785679e-007	1.22.2024 01:43:03.874 	0.352	2.148471e-008	1.22.2024 01:43:03.925 	0.402	5.348233e-012
1.22.2024 01:43:03.975 	0.452	7.783847e-007	1.22.2024 01:43:04.024 	0.502	2.147464e-008	1.22.2024 01:43:04.074 	0.552	5.643519e-012
1.22.2024 01:43:04.125 	0.602	7.780490e-007	1.22.2024 01:43:04.176 	0.653	2.149989e-008	1.22.2024 01:43:04.225 	0.703	5.498207e-012
1.22.2024 01:43:04.275 	0.753	7.785910e-007	1.22.2024 01:43:04.326 	0.803	2.150097e-008	1.22.2024 01:43:04.376 	0.854	5.501081e-012
1.22.2024 01:43:04.426 	0.904	7.786518e-007	1.22.2024 01:43:04.477 	0.954	2.152217e-008	1.22.2024 01:43:04.528 	1.005	5.351820e-012
1.22.2024 01:43:04.577 	1.055	7.784916e-007	1.22.2024 01:43:04.629 	1.106	2.151782e-008	1.22.2024 01:43:04.679 	1.156	5.458874e-012
1.22.2024 01:43:04.728 	1.206	7.783236e-007	1.22.2024 01:43:04.778 	1.256	2.149211e-008	1.22.2024 01:43:04.829 	1.306	5.367055e-012
1.22.2024 01:43:04.879 	1.356	7.787053e-007	1.22.2024 01:43:04.928 	1.406	2.149639e-008	1.22.2024 01:43:04.979 	1.457	5.420126e-012
1.22.2024 01:43:05.030 	1.507	7.785754e-007	1.22.2024 01:43:05.080 	1.557	2.149860e-008	1.22.2024 01:43:05.129 	1.607	5.536389e-012
1.22.2024 01:43:05.180 	1.657	7.779804e-007	1.22.2024 01:43:05.230 	1.707	2.148539e-008	1.22.2024 01:43:05.280 	1.757	5.475004e-012
1.22.2024 01:43:05.329 	1.807	7.776902e-007	1.22.2024 01:43:05.379 	1.857	2.149592e-008	1.22.2024 01:43:05.430 	1.907	5.514422e-012
1.22.2024 01:43:05.480 	1.957	7.783923e-007	1.22.2024 01:43:05.529 	2.007	2.150981e-008	1.22.2024 01:43:05.580 	2.057	5.225483e-012
1.22.2024 01:43:05.630 	2.107	7.786593e-007	1.22.2024 01:43:05.680 	2.157	2.151691e-008	1.22.2024 01:43:05.730 	2.208	5.456303e-012
1.22.2024 01:43:05.781 	2.258	7.786670e-007	1.22.2024 01:43:05.831 	2.308	2.150355e-008	1.22.2024 01:43:05.880 	2.358	5.310838e-012
1.22.2024 01:43:05.930 	2.408	7.783010e-007	1.22.2024 01:43:05.981 	2.458	2.150293e-008	1.22.2024 01:43:06.031 	2.508	5.210231e-012
1.22.2024 01:43:06.081 	2.559	7.786976e-007	1.22.2024 01:43:06.131 	2.609	2.151576e-008	1.22.2024 01:43:06.182 	2.659	5.315095e-012
1.22.2024 01:43:06.232 	2.709	7.783464e-007	1.22.2024 01:43:06.281 	2.759	2.152034e-008	1.22.2024 01:43:06.332 	2.809	5.325487e-012
1.22.2024 01:43:06.382 	2.859	7.779041e-007	1.22.2024 01:43:06.432 	2.909	2.149936e-008	1.22.2024 01:43:06.481 	2.959	5.141923e-012
1.22.2024 01:43:06.533 	3.010	7.784839e-007	1.22.2024 01:43:06.583 	3.060	2.152415e-008	1.22.2024 01:43:06.632 	3.110	5.038572e-012
1.22.2024 01:43:06.682 	3.160	7.782932e-007	1.22.2024 01:43:06.734 	3.211	2.150707e-008	1.22.2024 01:43:06.784 	3.261	5.153339e-012
1.22.2024 01:43:06.833 	3.311	7.785222e-007	1.22.2024 01:43:06.883 	3.361	2.151347e-008	1.22.2024 01:43:06.934 	3.411	5.215191e-012
1.22.2024 01:43:06.984 	3.461	7.780110e-007	1.22.2024 01:43:07.033 	3.511	2.153003e-008	1.22.2024 01:43:07.084 	3.561	5.070307e-012
1.22.2024 01:43:07.134 	3.611	7.783694e-007	1.22.2024 01:43:07.184 	3.662	2.150814e-008	1.22.2024 01:43:07.234 	3.712	5.106932e-012
1.22.2024 01:43:07.285 	3.762	7.781254e-007	1.22.2024 01:43:07.335 	3.812	2.149791e-008	1.22.2024 01:43:07.384 	3.862	5.100049e-012
1.22.2024 01:43:07.434 	3.912	7.781026e-007	1.22.2024 01:43:07.485 	3.962	2.149295e-008	1.22.2024 01:43:07.535 	4.012	4.896755e-012
1.22.2024 01:43:07.584 	4.062	7.776219e-007	1.22.2024 01:43:07.634 	4.112	2.150226e-008	1.22.2024 01:43:07.686 	4.163	5.047950e-012
1.22.2024 01:43:07.736 	4.213	7.778276e-007	1.22.2024 01:43:07.785 	4.263	2.147861e-008	1.22.2024 01:43:07.836 	4.313	5.053054e-012
1.22.2024 01:43:07.886 	4.363	7.780490e-007	1.22.2024 01:43:07.936 	4.414	2.148806e-008	1.22.2024 01:43:07.986 	4.464	4.841725e-012
1.22.2024 01:43:08.037 	4.514	7.782244e-007	1.22.2024 01:43:08.087 	4.564	2.150546e-008	1.22.2024 01:43:08.136 	4.614	5.202196e-012
1.22.2024 01:43:08.186 	4.664	7.776903e-007	1.22.2024 01:43:08.237 	4.714	2.149981e-008	1.22.2024 01:43:08.287 	4.764	5.036899e-012
1.22.2024 01:43:08.336 	4.814	7.775990e-007	1.22.2024 01:43:08.386 	4.864	2.148021e-008	1.22.2024 01:43:08.438 	4.915	5.186096e-012
1.22.2024 01:43:08.487 	4.964	7.776828e-007	1.22.2024 01:43:08.537 	5.015	2.148479e-008	1.22.2024 01:43:08.586 	5.064	5.186501e-012
1.22.2024 01:43:08.637 	5.114	7.774310e-007	1.22.2024 01:43:08.688 	5.165	2.147128e-008	1.22.2024 01:43:08.737 	5.215	4.938286e-012
