Sourcefile	20240229 153630 RI_Tuana_CO_20240602.qmp
Exporttime	29.02.2024 03:37:57.934 

Start Time	29.02.2024 03:36:43.323 
End Time	29.02.2024 03:37:29.471 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
29.02.2024 03:36:43.322 	0.000	7.177999e-007	29.02.2024 03:36:43.373 	0.050	2.119415e-008	29.02.2024 03:36:43.423 	0.100	1.235678e-011	29.02.2024 03:36:43.472 	0.150	1.517160e-010
29.02.2024 03:36:43.522 	0.200	7.171514e-007	29.02.2024 03:36:43.573 	0.250	2.120010e-008	29.02.2024 03:36:43.623 	0.300	1.363257e-011	29.02.2024 03:36:43.672 	0.350	1.731237e-010
29.02.2024 03:36:43.722 	0.400	7.174717e-007	29.02.2024 03:36:43.773 	0.450	2.116881e-008	29.02.2024 03:36:43.824 	0.501	1.433158e-011	29.02.2024 03:36:43.873 	0.551	1.591816e-010
29.02.2024 03:36:43.923 	0.601	7.168310e-007	29.02.2024 03:36:43.974 	0.651	2.107260e-008	29.02.2024 03:36:44.024 	0.701	1.309135e-011	29.02.2024 03:36:44.073 	0.751	1.475385e-010
29.02.2024 03:36:44.124 	0.801	7.034933e-007	29.02.2024 03:36:44.175 	0.852	2.040166e-008	29.02.2024 03:36:44.224 	0.902	1.323725e-011	29.02.2024 03:36:44.274 	0.952	2.806190e-010
29.02.2024 03:36:44.325 	1.002	6.605250e-007	29.02.2024 03:36:44.375 	1.052	1.876541e-008	29.02.2024 03:36:44.424 	1.102	5.687454e-010	29.02.2024 03:36:44.480 	1.157	1.433967e-008
29.02.2024 03:36:44.530 	1.208	6.229315e-007	29.02.2024 03:36:44.581 	1.258	1.792868e-008	29.02.2024 03:36:44.636 	1.313	2.520746e-009	29.02.2024 03:36:44.686 	1.363	3.732793e-008
29.02.2024 03:36:44.736 	1.413	6.093669e-007	29.02.2024 03:36:44.785 	1.463	1.661527e-008	29.02.2024 03:36:44.835 	1.513	3.726696e-009	29.02.2024 03:36:44.886 	1.563	5.025455e-008
29.02.2024 03:36:44.936 	1.613	6.083592e-007	29.02.2024 03:36:44.985 	1.663	1.693742e-008	29.02.2024 03:36:45.036 	1.713	4.483457e-009	29.02.2024 03:36:45.087 	1.764	5.860922e-008
29.02.2024 03:36:45.136 	1.814	6.192751e-007	29.02.2024 03:36:45.186 	1.864	1.787366e-008	29.02.2024 03:36:45.237 	1.914	5.032307e-009	29.02.2024 03:36:45.287 	1.964	6.482518e-008
29.02.2024 03:36:45.337 	2.015	6.340107e-007	29.02.2024 03:36:45.388 	2.065	1.874619e-008	29.02.2024 03:36:45.438 	2.115	5.452499e-009	29.02.2024 03:36:45.488 	2.165	6.951738e-008
29.02.2024 03:36:45.537 	2.215	6.474776e-007	29.02.2024 03:36:45.587 	2.265	1.951151e-008	29.02.2024 03:36:45.638 	2.315	5.756906e-009	29.02.2024 03:36:45.688 	2.365	7.286494e-008
29.02.2024 03:36:45.737 	2.415	6.590304e-007	29.02.2024 03:36:45.788 	2.465	2.008736e-008	29.02.2024 03:36:45.838 	2.515	5.939917e-009	29.02.2024 03:36:45.888 	2.566	7.468542e-008
