"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 44"	"CirrusPressure"	
"01.07.2024 15:22:31.557"	8.3683e-011	-8.5787e-014	5.5136e-012	7.7413e-014	3.6181e-011	-1.5897e-014	8.1535e-006	
"01.07.2024 15:22:31.841"	8.4240e-011	-8.5122e-014	5.5810e-012	7.7888e-014	3.5747e-011	-2.0734e-014	8.1535e-006	
"01.07.2024 15:22:32.126"	8.5036e-011	-8.7864e-014	5.3925e-012	7.5865e-014	3.6366e-011	-2.4314e-014	8.1571e-006	
"01.07.2024 15:22:32.409"	8.3893e-011	-8.5256e-014	5.5065e-012	7.3361e-014	3.6402e-011	-1.5642e-014	8.1571e-006	
"01.07.2024 15:22:32.693"	8.4258e-011	-8.5153e-014	5.5831e-012	7.4074e-014	3.5665e-011	-2.0821e-014	8.1571e-006	
"01.07.2024 15:22:32.976"	8.4950e-011	-8.7254e-014	5.3966e-012	7.5152e-014	3.6350e-011	-2.4480e-014	8.1539e-006	
"01.07.2024 15:22:33.259"	8.4206e-011	-8.7184e-014	5.4768e-012	7.6941e-014	3.6487e-011	-1.9313e-014	8.1539e-006	
"01.07.2024 15:22:33.543"	8.4146e-011	-8.7776e-014	5.5723e-012	7.7914e-014	3.5616e-011	-2.2029e-014	8.1539e-006	
"01.07.2024 15:22:33.826"	8.4852e-011	-8.5730e-014	5.3961e-012	7.3730e-014	3.6284e-011	-2.5830e-014	8.1539e-006	
"01.07.2024 15:22:34.110"	8.4592e-011	-8.7787e-014	5.4722e-012	7.4043e-014	3.6728e-011	-1.5650e-014	8.1558e-006	
"01.07.2024 15:22:34.393"	8.4033e-011	-8.9540e-014	5.5805e-012	7.5633e-014	3.5570e-011	-1.6505e-014	8.1558e-006	
"01.07.2024 15:22:34.677"	8.4840e-011	-8.4896e-014	5.3910e-012	6.9961e-014	3.6211e-011	-2.6150e-014	8.1558e-006	
"01.07.2024 15:22:34.961"	8.4917e-011	-8.7362e-014	5.4681e-012	7.3516e-014	3.6798e-011	-2.6357e-014	8.1558e-006	
"01.07.2024 15:22:35.245"	8.3953e-011	-8.8798e-014	5.5300e-012	7.5453e-014	3.5578e-011	-1.1354e-014	8.1506e-006	
"01.07.2024 15:22:35.528"	8.4792e-011	-8.9875e-014	5.3900e-012	7.5166e-014	3.6209e-011	-2.3497e-014	8.1506e-006	
"01.07.2024 15:22:35.812"	8.5058e-011	-8.7253e-014	5.4630e-012	7.6627e-014	3.6874e-011	-2.2580e-014	8.1506e-006	
"01.07.2024 15:22:36.096"	8.3946e-011	-8.7695e-014	5.5524e-012	7.6734e-014	3.5603e-011	-1.3340e-014	8.1506e-006	
"01.07.2024 15:22:36.380"	8.4779e-011	-8.6765e-014	5.4115e-012	7.6249e-014	3.6176e-011	-2.5491e-014	8.1553e-006	
"01.07.2024 15:22:36.664"	8.5240e-011	-8.8097e-014	5.4523e-012	7.5654e-014	3.6837e-011	-2.0702e-014	8.1553e-006	
"01.07.2024 15:22:36.947"	8.3858e-011	-8.8898e-014	5.5443e-012	7.5295e-014	3.5614e-011	-1.8276e-014	8.1553e-006	
"01.07.2024 15:22:37.231"	8.4689e-011	-8.6742e-014	5.4247e-012	7.6755e-014	3.6074e-011	-2.2463e-014	8.1553e-006	
"01.07.2024 15:22:37.514"	8.5389e-011	-8.5590e-014	5.4487e-012	7.3432e-014	3.6800e-011	-2.5623e-014	8.1442e-006	
"01.07.2024 15:22:37.798"	8.3767e-011	-8.7782e-014	5.5433e-012	7.5498e-014	3.5633e-011	-1.7697e-014	8.1442e-006	
"01.07.2024 15:22:38.081"	8.4584e-011	-9.0585e-014	5.4620e-012	7.4904e-014	3.6058e-011	-1.5451e-014	8.1442e-006	
