"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 44"	"CirrusPressure"	
"01.07.2024 15:24:48.805"	1.1919e-010	-8.7104e-014	8.6187e-012	9.1715e-014	4.3144e-013	8.7182e-014	1.0273e-005	
"01.07.2024 15:24:49.090"	1.1704e-010	-8.9542e-014	8.7599e-012	9.0520e-014	4.0095e-013	7.9986e-014	1.0273e-005	
"01.07.2024 15:24:49.373"	1.1833e-010	-8.4884e-014	8.3631e-012	6.9492e-014	4.1645e-013	8.3294e-014	1.0277e-005	
"01.07.2024 15:24:49.657"	1.1971e-010	-8.6104e-014	8.6151e-012	9.0642e-014	4.2259e-013	8.3276e-014	1.0277e-005	
"01.07.2024 15:24:49.940"	1.1721e-010	-8.4851e-014	8.7808e-012	9.0446e-014	4.0263e-013	7.7898e-014	1.0277e-005	
"01.07.2024 15:24:50.225"	1.1843e-010	-8.6410e-014	8.3534e-012	6.7197e-014	4.0764e-013	8.1165e-014	1.0275e-005	
"01.07.2024 15:24:50.509"	1.1972e-010	-8.4911e-014	8.5560e-012	9.1426e-014	4.2503e-013	8.6170e-014	1.0275e-005	
"01.07.2024 15:24:50.792"	1.1699e-010	-8.4895e-014	8.7681e-012	9.0750e-014	3.9825e-013	7.7631e-014	1.0275e-005	
"01.07.2024 15:24:51.075"	1.1834e-010	-8.6980e-014	8.4493e-012	7.0748e-014	4.1275e-013	8.1069e-014	1.0275e-005	
"01.07.2024 15:24:51.359"	1.1971e-010	-8.7459e-014	8.5320e-012	9.2326e-014	4.2130e-013	8.3851e-014	1.0276e-005	
"01.07.2024 15:24:51.642"	1.1674e-010	-8.9776e-014	8.7900e-012	9.1175e-014	4.0223e-013	7.8351e-014	1.0276e-005	
"01.07.2024 15:24:51.926"	1.1832e-010	-8.4957e-014	8.5579e-012	9.3226e-014	4.0660e-013	7.9840e-014	1.0276e-005	
"01.07.2024 15:24:52.209"	1.1947e-010	-8.7514e-014	8.5100e-012	9.2649e-014	4.2254e-013	8.6426e-014	1.0276e-005	
"01.07.2024 15:24:52.493"	1.1625e-010	-8.7491e-014	8.7518e-012	8.9906e-014	4.1663e-013	8.2525e-014	1.0279e-005	
"01.07.2024 15:24:52.777"	1.1840e-010	-8.7747e-014	8.6523e-012	6.8226e-014	4.1230e-013	8.1783e-014	1.0279e-005	
"01.07.2024 15:24:53.060"	1.1940e-010	-8.4439e-014	8.4386e-012	9.2786e-014	4.2086e-013	8.6388e-014	1.0279e-005	
"01.07.2024 15:24:53.344"	1.1582e-010	-8.6966e-014	8.6452e-012	9.1794e-014	4.8517e-013	8.1533e-014	1.0279e-005	
"01.07.2024 15:24:53.627"	1.1156e-010	-8.5653e-014	9.3856e-012	8.9289e-014	1.9171e-011	4.9893e-014	1.0281e-005	
"01.07.2024 15:24:53.910"	1.0151e-010	-8.7088e-014	7.2300e-012	7.3809e-014	3.8497e-011	-3.3256e-014	1.0281e-005	
"01.07.2024 15:24:54.194"	9.5198e-011	-8.5255e-014	6.7819e-012	7.4035e-014	4.2056e-011	-5.0465e-014	1.0281e-005	
"01.07.2024 15:24:54.477"	9.5052e-011	-8.5820e-014	6.8340e-012	7.2113e-014	4.2559e-011	-5.5594e-014	1.0281e-005	
