Sourcefile	20240228 111456 RI_Tuana_CO_20240602.qmp
Exporttime	28.02.2024 11:17:19.123 

Start Time	28.02.2024 11:15:09.963 
End Time	28.02.2024 11:15:50.480 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
28.02.2024 11:15:09.962 	0.000	7.072092e-007	28.02.2024 11:15:10.013 	0.050	2.056563e-008	28.02.2024 11:15:10.063 	0.100	5.408269e-011	28.02.2024 11:15:10.117 	0.154	6.303054e-010
28.02.2024 11:15:10.168 	0.205	6.945456e-007	28.02.2024 11:15:10.217 	0.255	2.013971e-008	28.02.2024 11:15:10.268 	0.305	3.814125e-011	28.02.2024 11:15:10.318 	0.355	4.679838e-010
28.02.2024 11:15:10.368 	0.405	6.853633e-007	28.02.2024 11:15:10.418 	0.456	1.987524e-008	28.02.2024 11:15:10.469 	0.506	2.929122e-011	28.02.2024 11:15:10.519 	0.556	3.744301e-010
28.02.2024 11:15:10.568 	0.606	6.798522e-007	28.02.2024 11:15:10.618 	0.656	1.971668e-008	28.02.2024 11:15:10.669 	0.706	2.451677e-011	28.02.2024 11:15:10.719 	0.756	3.166241e-010
28.02.2024 11:15:10.768 	0.806	6.765787e-007	28.02.2024 11:15:10.818 	0.856	1.961916e-008	28.02.2024 11:15:10.870 	0.907	2.066147e-011	28.02.2024 11:15:10.919 	0.956	2.750435e-010
28.02.2024 11:15:10.968 	1.006	6.754693e-007	28.02.2024 11:15:11.018 	1.056	1.958651e-008	28.02.2024 11:15:11.069 	1.106	1.747894e-011	28.02.2024 11:15:11.119 	1.156	2.408879e-010
28.02.2024 11:15:11.168 	1.206	6.745812e-007	28.02.2024 11:15:11.218 	1.256	1.955828e-008	28.02.2024 11:15:11.269 	1.306	1.588916e-011	28.02.2024 11:15:11.319 	1.356	2.129983e-010
28.02.2024 11:15:11.369 	1.407	6.741752e-007	28.02.2024 11:15:11.420 	1.457	1.953425e-008	28.02.2024 11:15:11.470 	1.507	1.229726e-011	28.02.2024 11:15:11.520 	1.557	1.916860e-010
28.02.2024 11:15:11.569 	1.607	6.742302e-007	28.02.2024 11:15:11.619 	1.657	1.955256e-008	28.02.2024 11:15:11.670 	1.707	1.253693e-011	28.02.2024 11:15:11.720 	1.758	1.727635e-010
28.02.2024 11:15:11.769 	1.807	6.738748e-007	28.02.2024 11:15:11.820 	1.857	1.952982e-008	28.02.2024 11:15:11.870 	1.907	1.103261e-011	28.02.2024 11:15:11.920 	1.957	1.560203e-010
28.02.2024 11:15:11.970 	2.008	6.742081e-007	28.02.2024 11:15:12.021 	2.058	1.954570e-008	28.02.2024 11:15:12.071 	2.108	9.511430e-012	28.02.2024 11:15:12.120 	2.158	1.403416e-010
28.02.2024 11:15:12.172 	2.209	6.742523e-007	28.02.2024 11:15:12.222 	2.259	1.954081e-008	28.02.2024 11:15:12.272 	2.309	8.910127e-012	28.02.2024 11:15:12.321 	2.359	1.280834e-010
28.02.2024 11:15:12.371 	2.409	6.744201e-007	28.02.2024 11:15:12.423 	2.460	1.954921e-008	28.02.2024 11:15:12.472 	2.510	8.694300e-012	28.02.2024 11:15:12.522 	2.560	1.186447e-010
28.02.2024 11:15:12.573 	2.610	6.744004e-007	28.02.2024 11:15:12.623 	2.660	1.954111e-008	28.02.2024 11:15:12.672 	2.710	7.797837e-012	28.02.2024 11:15:12.722 	2.760	1.093815e-010
28.02.2024 11:15:12.773 	2.810	6.745669e-007	28.02.2024 11:15:12.824 	2.861	1.955591e-008	28.02.2024 11:15:12.873 	2.911	7.244743e-012	28.02.2024 11:15:12.924 	2.961	1.019694e-010
28.02.2024 11:15:12.974 	3.011	6.740715e-007	28.02.2024 11:15:13.024 	3.061	1.952356e-008	28.02.2024 11:15:13.073 	3.111	6.798475e-012	28.02.2024 11:15:13.123 	3.161	9.342799e-011
28.02.2024 11:15:13.174 	3.211	6.742714e-007	28.02.2024 11:15:13.224 	3.261	1.953532e-008	28.02.2024 11:15:13.274 	3.312	6.240463e-012	28.02.2024 11:15:13.325 	3.362	8.885290e-011
28.02.2024 11:15:13.375 	3.412	6.745703e-007	28.02.2024 11:15:13.424 	3.462	1.955080e-008	28.02.2024 11:15:13.474 	3.512	6.011055e-012	28.02.2024 11:15:13.525 	3.562	8.357572e-011
28.02.2024 11:15:13.575 	3.612	6.745355e-007	28.02.2024 11:15:13.624 	3.662	1.953074e-008	28.02.2024 11:15:13.674 	3.712	5.953515e-012	28.02.2024 11:15:13.725 	3.762	7.885102e-011
