Sourcefile	20240122 133219 RI_Tuana.qmp
Exporttime	1.22.2024 01:34:11.481 

Start Time	1.22.2024 01:33:32.550 
End Time	1.22.2024 01:33:38.732 

		H2			He			Ar	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
1.22.2024 01:33:32.550 	0.000	9.132049e-007	1.22.2024 01:33:32.600 	0.050	2.285955e-008	1.22.2024 01:33:32.649 	0.100	3.858504e-008
1.22.2024 01:33:32.700 	0.150	9.129992e-007	1.22.2024 01:33:32.750 	0.200	2.288228e-008	1.22.2024 01:33:32.800 	0.250	3.859534e-008
1.22.2024 01:33:32.849 	0.300	9.131364e-007	1.22.2024 01:33:32.901 	0.351	2.287167e-008	1.22.2024 01:33:32.951 	0.401	3.860593e-008
1.22.2024 01:33:33.000 	0.451	9.130447e-007	1.22.2024 01:33:33.052 	0.502	2.286686e-008	1.22.2024 01:33:33.102 	0.552	3.859473e-008
1.22.2024 01:33:33.152 	0.602	9.127854e-007	1.22.2024 01:33:33.201 	0.652	2.287831e-008	1.22.2024 01:33:33.251 	0.702	3.857159e-008
1.22.2024 01:33:33.302 	0.752	9.126708e-007	1.22.2024 01:33:33.352 	0.802	2.285336e-008	1.22.2024 01:33:33.400 	0.851	3.851452e-008
1.22.2024 01:33:33.452 	0.902	9.125944e-007	1.22.2024 01:33:33.502 	0.952	2.287128e-008	1.22.2024 01:33:33.552 	1.002	3.857245e-008
1.22.2024 01:33:33.601 	1.052	9.123046e-007	1.22.2024 01:33:33.653 	1.103	2.286687e-008	1.22.2024 01:33:33.703 	1.153	3.854146e-008
1.22.2024 01:33:33.752 	1.203	9.118010e-007	1.22.2024 01:33:33.802 	1.253	2.285748e-008	1.22.2024 01:33:33.853 	1.303	3.853170e-008
1.22.2024 01:33:33.903 	1.353	9.117399e-007	1.22.2024 01:33:33.952 	1.403	2.283611e-008	1.22.2024 01:33:34.002 	1.453	3.854337e-008
1.22.2024 01:33:34.053 	1.503	9.119765e-007	1.22.2024 01:33:34.103 	1.553	2.283527e-008	1.22.2024 01:33:34.152 	1.603	3.851836e-008
1.22.2024 01:33:34.202 	1.653	9.117552e-007	1.22.2024 01:33:34.253 	1.703	2.283551e-008	1.22.2024 01:33:34.303 	1.753	3.852865e-008
1.22.2024 01:33:34.352 	1.803	9.115415e-007	1.22.2024 01:33:34.402 	1.853	2.284650e-008	1.22.2024 01:33:34.454 	1.904	3.851117e-008
1.22.2024 01:33:34.504 	1.954	9.113737e-007	1.22.2024 01:33:34.553 	2.004	2.282566e-008	1.22.2024 01:33:34.604 	2.054	3.855466e-008
1.22.2024 01:33:34.655 	2.105	9.111372e-007	1.22.2024 01:33:34.704 	2.155	2.281811e-008	1.22.2024 01:33:34.754 	2.205	3.850827e-008
1.22.2024 01:33:34.805 	2.255	9.110532e-007	1.22.2024 01:33:34.855 	2.305	2.282978e-008	1.22.2024 01:33:34.905 	2.356	3.851827e-008
1.22.2024 01:33:34.956 	2.406	9.103895e-007	1.22.2024 01:33:35.006 	2.456	2.281238e-008	1.22.2024 01:33:35.056 	2.506	3.847471e-008
1.22.2024 01:33:35.105 	2.556	9.103741e-007	1.22.2024 01:33:35.155 	2.606	2.280773e-008	1.22.2024 01:33:35.206 	2.656	3.849621e-008
1.22.2024 01:33:35.256 	2.706	9.106259e-007	1.22.2024 01:33:35.306 	2.757	2.281254e-008	1.22.2024 01:33:35.357 	2.807	3.850843e-008
1.22.2024 01:33:35.407 	2.857	9.105726e-007	1.22.2024 01:33:35.456 	2.907	2.281437e-008	1.22.2024 01:33:35.505 	2.956	3.851362e-008
1.22.2024 01:33:35.557 	3.007	9.109846e-007	1.22.2024 01:33:35.607 	3.057	2.281940e-008	1.22.2024 01:33:35.656 	3.107	3.854215e-008
1.22.2024 01:33:35.706 	3.157	9.110227e-007	1.22.2024 01:33:35.757 	3.207	2.281453e-008	1.22.2024 01:33:35.807 	3.257	3.853873e-008
1.22.2024 01:33:35.856 	3.307	9.109389e-007	1.22.2024 01:33:35.906 	3.357	2.282116e-008	1.22.2024 01:33:35.957 	3.407	3.850346e-008
1.22.2024 01:33:36.008 	3.458	9.103206e-007	1.22.2024 01:33:36.057 	3.508	2.280933e-008	1.22.2024 01:33:36.108 	3.558	3.849118e-008
1.22.2024 01:33:36.158 	3.608	9.102671e-007	1.22.2024 01:33:36.208 	3.658	2.280285e-008	1.22.2024 01:33:36.257 	3.708	3.848195e-008
1.22.2024 01:33:36.307 	3.758	9.101529e-007	1.22.2024 01:33:36.358 	3.808	2.280231e-008	1.22.2024 01:33:36.408 	3.858	3.848103e-008
1.22.2024 01:33:36.458 	3.909	9.101683e-007	1.22.2024 01:33:36.509 	3.959	2.281254e-008	1.22.2024 01:33:36.559 	4.009	3.847897e-008
1.22.2024 01:33:36.608 	4.059	9.102521e-007	1.22.2024 01:33:36.658 	4.109	2.279941e-008	1.22.2024 01:33:36.709 	4.159	3.847043e-008
1.22.2024 01:33:36.759 	4.209	9.101607e-007	1.22.2024 01:33:36.808 	4.259	2.280209e-008	1.22.2024 01:33:36.860 	4.310	3.845165e-008
1.22.2024 01:33:36.910 	4.360	9.099319e-007	1.22.2024 01:33:36.960 	4.410	2.278964e-008	1.22.2024 01:33:37.009 	4.460	3.846410e-008
1.22.2024 01:33:37.059 	4.510	9.101376e-007	1.22.2024 01:33:37.110 	4.560	2.279255e-008	1.22.2024 01:33:37.160 	4.610	3.847499e-008
1.22.2024 01:33:37.210 	4.661	9.095957e-007	1.22.2024 01:33:37.261 	4.711	2.279171e-008	1.22.2024 01:33:37.311 	4.761	3.845037e-008
1.22.2024 01:33:37.360 	4.811	9.094889e-007	1.22.2024 01:33:37.410 	4.861	2.279498e-008	1.22.2024 01:33:37.461 	4.911	3.847937e-008
1.22.2024 01:33:37.512 	4.962	9.099008e-007	1.22.2024 01:33:37.560 	5.011	2.278858e-008	1.22.2024 01:33:37.610 	5.061	3.847089e-008
1.22.2024 01:33:37.661 	5.111	9.094433e-007	1.22.2024 01:33:37.711 	5.161	2.278720e-008	1.22.2024 01:33:37.760 	5.211	3.843977e-008
1.22.2024 01:33:37.810 	5.261	9.097484e-007	1.22.2024 01:33:37.861 	5.311	2.278103e-008	1.22.2024 01:33:37.911 	5.361	3.844318e-008
1.22.2024 01:33:37.961 	5.412	9.092981e-007	1.22.2024 01:33:38.012 	5.462	2.277728e-008	1.22.2024 01:33:38.062 	5.512	3.842456e-008
1.22.2024 01:33:38.112 	5.562	9.093899e-007	1.22.2024 01:33:38.161 	5.612	2.278744e-008	1.22.2024 01:33:38.211 	5.662	3.843807e-008
1.22.2024 01:33:38.263 	5.713	9.095120e-007	1.22.2024 01:33:38.312 	5.763	2.277127e-008	1.22.2024 01:33:38.362 	5.813	3.843403e-008
1.22.2024 01:33:38.413 	5.863	9.091380e-007	1.22.2024 01:33:38.463 	5.913	2.277813e-008	1.22.2024 01:33:38.512 	5.963	3.840929e-008
1.22.2024 01:33:38.561 	6.012	9.091686e-007	1.22.2024 01:33:38.611 	6.062	2.277515e-008	1.22.2024 01:33:38.662 	6.112	3.843625e-008
1.22.2024 01:33:38.712 	6.162	9.094127e-007
