Sourcefile	20240122 135636 RI_Tuana.qmp
Exporttime	1.22.2024 01:57:56.722 

Start Time	1.22.2024 01:57:24.988 
End Time	1.22.2024 01:57:31.224 

		H2			He			Ar	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
1.22.2024 01:57:24.988 	0.000	8.589229e-007	1.22.2024 01:57:25.038 	0.050	2.145274e-008	1.22.2024 01:57:25.088 	0.101	3.634508e-008
1.22.2024 01:57:25.138 	0.151	8.596783e-007	1.22.2024 01:57:25.189 	0.201	2.143526e-008	1.22.2024 01:57:25.239 	0.251	3.633631e-008
1.22.2024 01:57:25.288 	0.301	8.596478e-007	1.22.2024 01:57:25.338 	0.351	2.144656e-008	1.22.2024 01:57:25.389 	0.401	3.633896e-008
1.22.2024 01:57:25.439 	0.451	8.590756e-007	1.22.2024 01:57:25.488 	0.501	2.143663e-008	1.22.2024 01:57:25.538 	0.551	3.634705e-008
1.22.2024 01:57:25.590 	0.602	8.590220e-007	1.22.2024 01:57:25.640 	0.652	2.142062e-008	1.22.2024 01:57:25.690 	0.703	3.633897e-008
1.22.2024 01:57:25.741 	0.753	8.588007e-007	1.22.2024 01:57:25.791 	0.803	2.142046e-008	1.22.2024 01:57:25.840 	0.853	3.636118e-008
1.22.2024 01:57:25.890 	0.903	8.594418e-007	1.22.2024 01:57:25.941 	0.953	2.140993e-008	1.22.2024 01:57:25.992 	1.004	3.635805e-008
1.22.2024 01:57:26.040 	1.053	8.587627e-007	1.22.2024 01:57:26.090 	1.103	2.143252e-008	1.22.2024 01:57:26.141 	1.153	3.632875e-008
1.22.2024 01:57:26.192 	1.204	8.583050e-007	1.22.2024 01:57:26.241 	1.254	2.141306e-008	1.22.2024 01:57:26.291 	1.304	3.636202e-008
1.22.2024 01:57:26.342 	1.354	8.589760e-007	1.22.2024 01:57:26.392 	1.404	2.142129e-008	1.22.2024 01:57:26.441 	1.454	3.636292e-008
1.22.2024 01:57:26.492 	1.504	8.592054e-007	1.22.2024 01:57:26.542 	1.554	2.141756e-008	1.22.2024 01:57:26.592 	1.604	3.634210e-008
1.22.2024 01:57:26.641 	1.654	8.590298e-007	1.22.2024 01:57:26.691 	1.704	2.144809e-008	1.22.2024 01:57:26.742 	1.754	3.634163e-008
1.22.2024 01:57:26.792 	1.804	8.586026e-007	1.22.2024 01:57:26.841 	1.854	2.141917e-008	1.22.2024 01:57:26.892 	1.904	3.635507e-008
1.22.2024 01:57:26.943 	1.955	8.592434e-007	1.22.2024 01:57:26.992 	2.005	2.142573e-008	1.22.2024 01:57:27.042 	2.055	3.637949e-008
1.22.2024 01:57:27.093 	2.105	8.591134e-007	1.22.2024 01:57:27.143 	2.155	2.141733e-008	1.22.2024 01:57:27.193 	2.206	3.634477e-008
1.22.2024 01:57:27.244 	2.256	8.586482e-007	1.22.2024 01:57:27.294 	2.306	2.142488e-008	1.22.2024 01:57:27.344 	2.356	3.629387e-008
1.22.2024 01:57:27.393 	2.406	8.584576e-007	1.22.2024 01:57:27.443 	2.456	2.143381e-008	1.22.2024 01:57:27.495 	2.507	3.632546e-008
1.22.2024 01:57:27.544 	2.557	8.589304e-007	1.22.2024 01:57:27.594 	2.607	2.144474e-008	1.22.2024 01:57:27.645 	2.657	3.634934e-008
1.22.2024 01:57:27.695 	2.707	8.586406e-007	1.22.2024 01:57:27.744 	2.757	2.143023e-008	1.22.2024 01:57:27.795 	2.808	3.633135e-008
1.22.2024 01:57:27.846 	2.858	8.580985e-007	1.22.2024 01:57:27.896 	2.908	2.142344e-008	1.22.2024 01:57:27.945 	2.958	3.633432e-008
1.22.2024 01:57:27.996 	3.008	8.580834e-007	1.22.2024 01:57:28.046 	3.058	2.142413e-008	1.22.2024 01:57:28.096 	3.108	3.634042e-008
1.22.2024 01:57:28.146 	3.159	8.582971e-007	1.22.2024 01:57:28.197 	3.209	2.139712e-008	1.22.2024 01:57:28.247 	3.259	3.633493e-008
1.22.2024 01:57:28.297 	3.310	8.583809e-007	1.22.2024 01:57:28.348 	3.360	2.141818e-008	1.22.2024 01:57:28.398 	3.410	3.631218e-008
1.22.2024 01:57:28.448 	3.460	8.576334e-007	1.22.2024 01:57:28.497 	3.510	2.139673e-008	1.22.2024 01:57:28.547 	3.560	3.628517e-008
1.22.2024 01:57:28.598 	3.610	8.576486e-007	1.22.2024 01:57:28.648 	3.660	2.139597e-008	1.22.2024 01:57:28.698 	3.711	3.631547e-008
1.22.2024 01:57:28.749 	3.761	8.578165e-007	1.22.2024 01:57:28.799 	3.811	2.140146e-008	1.22.2024 01:57:28.848 	3.861	3.627304e-008
1.22.2024 01:57:28.898 	3.911	8.577019e-007	1.22.2024 01:57:28.949 	3.961	2.139086e-008	1.22.2024 01:57:28.999 	4.011	3.627961e-008
1.22.2024 01:57:29.048 	4.061	8.571452e-007	1.22.2024 01:57:29.098 	4.111	2.139177e-008	1.22.2024 01:57:29.149 	4.161	3.625756e-008
1.22.2024 01:57:29.199 	4.211	8.566340e-007	1.22.2024 01:57:29.248 	4.261	2.138514e-008	1.22.2024 01:57:29.298 	4.311	3.624817e-008
1.22.2024 01:57:29.349 	4.361	8.571298e-007	1.22.2024 01:57:29.399 	4.411	2.137132e-008	1.22.2024 01:57:29.448 	4.461	3.627167e-008
1.22.2024 01:57:29.498 	4.511	8.569467e-007	1.22.2024 01:57:29.550 	4.562	2.138933e-008	1.22.2024 01:57:29.600 	4.612	3.622413e-008
1.22.2024 01:57:29.649 	4.662	8.566032e-007	1.22.2024 01:57:29.699 	4.712	2.137910e-008	1.22.2024 01:57:29.750 	4.762	3.625298e-008
1.22.2024 01:57:29.800 	4.812	8.561607e-007	1.22.2024 01:57:29.849 	4.862	2.136766e-008	1.22.2024 01:57:29.901 	4.913	3.624581e-008
1.22.2024 01:57:29.951 	4.963	8.573433e-007	1.22.2024 01:57:30.000 	5.013	2.138361e-008	1.22.2024 01:57:30.051 	5.064	3.625053e-008
1.22.2024 01:57:30.102 	5.114	8.573585e-007	1.22.2024 01:57:30.152 	5.165	2.137666e-008	1.22.2024 01:57:30.202 	5.215	3.627205e-008
1.22.2024 01:57:30.253 	5.265	8.566415e-007	1.22.2024 01:57:30.303 	5.315	2.138902e-008	1.22.2024 01:57:30.352 	5.365	3.621605e-008
1.22.2024 01:57:30.402 	5.415	8.573512e-007	1.22.2024 01:57:30.453 	5.465	2.138224e-008	1.22.2024 01:57:30.503 	5.515	3.627669e-008
1.22.2024 01:57:30.552 	5.565	8.571373e-007	1.22.2024 01:57:30.602 	5.615	2.140223e-008	1.22.2024 01:57:30.653 	5.665	3.629280e-008
1.22.2024 01:57:30.703 	5.715	8.570076e-007	1.22.2024 01:57:30.752 	5.765	2.138902e-008	1.22.2024 01:57:30.803 	5.816	3.627060e-008
1.22.2024 01:57:30.854 	5.866	8.563517e-007	1.22.2024 01:57:30.904 	5.916	2.140314e-008	1.22.2024 01:57:30.953 	5.966	3.622819e-008
1.22.2024 01:57:31.004 	6.016	8.569160e-007	1.22.2024 01:57:31.054 	6.066	2.140069e-008	1.22.2024 01:57:31.104 	6.116	3.627387e-008
1.22.2024 01:57:31.153 	6.166	8.574805e-007	1.22.2024 01:57:31.203 	6.216	2.137132e-008
