"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"20.10.2023 14:06:56.224"	8.2901e-012	9.0224e-014	4.6797e-013	8.3454e-014	2.9082e-012	7.5103e-014	9.2116e-006	
"20.10.2023 14:06:56.507"	8.3696e-012	8.8689e-014	4.7222e-013	8.3244e-014	2.9205e-012	7.3723e-014	9.2118e-006	
"20.10.2023 14:06:56.791"	8.4318e-012	8.8967e-014	4.6328e-013	8.2889e-014	2.9559e-012	7.2225e-014	9.2118e-006	
"20.10.2023 14:06:57.074"	8.2820e-012	8.9662e-014	4.6811e-013	8.3923e-014	2.9205e-012	7.3467e-014	9.2118e-006	
"20.10.2023 14:06:57.358"	8.3590e-012	8.8906e-014	4.7164e-013	8.4093e-014	2.9220e-012	7.3049e-014	9.2096e-006	
"20.10.2023 14:06:57.641"	8.4197e-012	8.8445e-014	4.6112e-013	8.3031e-014	2.9518e-012	7.2476e-014	9.2096e-006	
"20.10.2023 14:06:57.925"	8.2992e-012	9.0361e-014	4.6782e-013	8.3477e-014	2.9343e-012	7.4243e-014	9.2096e-006	
"20.10.2023 14:06:58.208"	8.3508e-012	8.9258e-014	4.7058e-013	8.4043e-014	2.9144e-012	7.3995e-014	9.2096e-006	
"20.10.2023 14:06:58.492"	8.4161e-012	8.8948e-014	4.6398e-013	8.2813e-014	2.9457e-012	7.4402e-014	9.2115e-006	
"20.10.2023 14:06:58.775"	8.3431e-012	8.9140e-014	4.6600e-013	8.3367e-014	2.9487e-012	7.5308e-014	9.2115e-006	
"20.10.2023 14:06:59.058"	8.3457e-012	8.9740e-014	4.7167e-013	8.4497e-014	2.9098e-012	7.4961e-014	9.2115e-006	
"20.10.2023 14:06:59.342"	8.4013e-012	8.9380e-014	4.6011e-013	8.2834e-014	2.9462e-012	7.3924e-014	9.2115e-006	
"20.10.2023 14:06:59.625"	8.3946e-012	9.0383e-014	4.6823e-013	8.3568e-014	2.9662e-012	7.2792e-014	9.2126e-006	
"20.10.2023 14:06:59.909"	8.3391e-012	8.9003e-014	4.7104e-013	8.4224e-014	2.9041e-012	7.2568e-014	9.2126e-006	
