"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"20.10.2023 14:53:32.420"	1.0888e-011	7.3545e-014	4.3339e-013	7.4795e-014	5.5719e-015	3.9697e-016	1.1024e-005	
"20.10.2023 14:53:32.704"	1.1200e-011	7.2866e-014	4.2670e-013	7.4754e-014	5.6601e-015	6.3777e-016	1.1024e-005	
"20.10.2023 14:53:32.987"	1.1043e-011	7.4383e-014	4.3845e-013	7.6625e-014	5.7900e-015	5.3764e-016	1.1093e-005	
"20.10.2023 14:53:33.271"	1.1119e-011	7.2008e-014	4.4093e-013	7.6316e-014	5.5993e-015	4.6015e-016	1.1093e-005	
"20.10.2023 14:53:33.554"	1.0997e-011	7.2341e-014	4.2425e-013	7.3681e-014	5.6732e-015	5.4002e-016	1.1093e-005	
"20.10.2023 14:53:33.837"	1.1027e-011	7.4544e-014	4.3591e-013	7.5897e-014	5.8663e-015	5.5671e-016	1.1093e-005	
"20.10.2023 14:53:34.121"	1.1048e-011	7.3613e-014	4.4064e-013	7.7112e-014	5.7483e-015	6.0559e-016	1.1112e-005	
"20.10.2023 14:53:34.404"	1.1536e-011	7.0153e-014	4.6025e-013	8.0511e-014	6.3241e-015	6.9022e-016	1.1112e-005	
"20.10.2023 14:53:34.688"	1.1122e-011	7.3582e-014	4.3883e-013	7.6760e-014	5.9438e-015	6.5565e-016	1.1112e-005	
"20.10.2023 14:53:34.971"	1.0769e-011	7.4921e-014	4.2552e-013	7.3755e-014	5.5850e-015	4.3631e-016	1.1207e-005	
"20.10.2023 14:53:35.255"	1.0985e-011	7.2571e-014	4.1819e-013	7.2298e-014	5.6589e-015	4.5061e-016	1.1207e-005	
"20.10.2023 14:53:35.538"	1.0938e-011	7.5837e-014	4.1926e-013	7.2817e-014	5.5814e-015	6.3777e-016	1.1207e-005	
"20.10.2023 14:53:35.821"	1.0750e-011	7.4303e-014	4.2579e-013	7.3744e-014	6.0272e-015	6.4612e-016	1.1207e-005	
"20.10.2023 14:53:36.105"	1.0876e-011	7.4416e-014	4.2605e-013	7.3830e-014	8.0848e-015	8.1540e-016	1.0938e-005	
"20.10.2023 14:53:36.389"	1.0839e-011	7.4580e-014	4.5260e-013	7.9420e-014	4.2905e-013	7.5264e-014	1.0938e-005	
"20.10.2023 14:53:36.672"	1.0451e-011	7.7329e-014	3.8857e-013	6.3943e-014	1.1209e-012	7.4171e-014	1.0938e-005	
"20.10.2023 14:53:36.955"	1.0339e-011	7.7821e-014	3.6304e-013	5.5846e-014	1.4378e-012	7.3257e-014	1.0938e-005	
"20.10.2023 14:53:37.239"	1.0270e-011	7.9127e-014	3.6075e-013	5.5131e-014	1.6148e-012	7.5800e-014	1.0899e-005	
"20.10.2023 14:53:37.524"	1.0184e-011	7.8805e-014	3.6480e-013	5.6529e-014	1.7164e-012	7.5726e-014	1.0899e-005	
"20.10.2023 14:53:37.807"	1.0204e-011	7.9252e-014	3.5786e-013	5.4221e-014	1.7619e-012	7.3632e-014	1.0899e-005	
"20.10.2023 14:53:38.092"	1.0282e-011	7.7987e-014	3.5511e-013	5.3953e-014	1.8751e-012	7.3247e-014	1.0899e-005	
"20.10.2023 14:53:38.375"	1.0070e-011	7.9520e-014	3.5237e-013	5.3411e-014	1.8818e-012	7.4992e-014	1.0876e-005	
"20.10.2023 14:53:38.660"	1.0618e-011	7.5519e-014	3.4847e-013	5.2306e-014	2.0046e-012	7.3312e-014	1.0876e-005	
"20.10.2023 14:53:38.944"	1.0285e-011	7.7561e-014	3.4498e-013	5.0266e-014	2.0567e-012	7.4538e-014	1.0876e-005	
"20.10.2023 14:53:39.227"	1.0100e-011	7.8875e-014	3.4043e-013	4.9509e-014	2.0196e-012	7.3477e-014	1.0876e-005	
