"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"20.10.2023 14:40:58.229"	1.0042e-011	7.9980e-014	3.5772e-013	5.4018e-014	2.5476e-012	7.7609e-014	1.0746e-005	
"20.10.2023 14:40:58.513"	9.9704e-012	7.9674e-014	3.5285e-013	5.3180e-014	2.4941e-012	7.4531e-014	1.0795e-005	
"20.10.2023 14:40:58.797"	1.0198e-011	7.8650e-014	3.5255e-013	5.2288e-014	2.4520e-012	7.2389e-014	1.0795e-005	
"20.10.2023 14:40:59.080"	9.8797e-012	8.0483e-014	3.3448e-013	4.8582e-014	2.3759e-012	7.3035e-014	1.0795e-005	
"20.10.2023 14:40:59.363"	9.7614e-012	8.1799e-014	3.4484e-013	5.0887e-014	2.3630e-012	7.4379e-014	1.0795e-005	
"20.10.2023 14:40:59.647"	9.9210e-012	8.0248e-014	3.4503e-013	5.0651e-014	2.3810e-012	7.4452e-014	1.0807e-005	
"20.10.2023 14:40:59.930"	1.0073e-011	7.9168e-014	3.3897e-013	4.9576e-014	2.4026e-012	7.4600e-014	1.0807e-005	
"20.10.2023 14:41:00.214"	9.6875e-012	8.2120e-014	3.4136e-013	4.9464e-014	2.3491e-012	7.5471e-014	1.0807e-005	
"20.10.2023 14:41:00.497"	9.7660e-012	8.1942e-014	3.3992e-013	5.0321e-014	2.3424e-012	7.4895e-014	1.0807e-005	
"20.10.2023 14:41:00.780"	9.8583e-012	7.9799e-014	3.3760e-013	4.9471e-014	2.3934e-012	7.3542e-014	1.0670e-005	
"20.10.2023 14:41:01.064"	9.7609e-012	8.0978e-014	3.4034e-013	5.0329e-014	2.3897e-012	7.5999e-014	1.0670e-005	
"20.10.2023 14:41:01.347"	9.8929e-012	8.0626e-014	3.4892e-013	5.2083e-014	2.3573e-012	7.6920e-014	1.0670e-005	
"20.10.2023 14:41:01.631"	9.9914e-012	8.0109e-014	3.3789e-013	4.8177e-014	2.3568e-012	7.7373e-014	1.0670e-005	
"20.10.2023 14:41:01.914"	9.6655e-012	8.1593e-014	3.4200e-013	4.9402e-014	2.3810e-012	7.4366e-014	1.0668e-005	
"20.10.2023 14:41:02.198"	9.8679e-012	8.1469e-014	3.4930e-013	5.1840e-014	2.3511e-012	7.6513e-014	1.0668e-005	
"20.10.2023 14:41:02.481"	1.0009e-011	7.9893e-014	3.3222e-013	4.8021e-014	2.3542e-012	7.2413e-014	1.0668e-005	
"20.10.2023 14:41:02.764"	9.6946e-012	8.1998e-014	3.3996e-013	4.9486e-014	2.3835e-012	7.4560e-014	1.0668e-005	
"20.10.2023 14:41:03.048"	9.7578e-012	8.1628e-014	3.4391e-013	5.0764e-014	2.3296e-012	7.2548e-014	1.0629e-005	
"20.10.2023 14:41:03.332"	9.7997e-012	8.1181e-014	3.3663e-013	4.8694e-014	2.3548e-012	7.3549e-014	1.0629e-005	
"20.10.2023 14:41:03.615"	9.8073e-012	8.2558e-014	3.3489e-013	4.8763e-014	2.3826e-012	7.0887e-014	1.0629e-005	
"20.10.2023 14:41:03.898"	1.0090e-011	7.9749e-014	3.5822e-013	5.4729e-014	2.3727e-012	7.4596e-014	1.0629e-005	
"20.10.2023 14:41:04.182"	9.8669e-012	8.1662e-014	3.4721e-013	5.0729e-014	2.4627e-012	7.5029e-014	1.0604e-005	
"20.10.2023 14:41:04.465"	9.9424e-012	7.9022e-014	3.5091e-013	5.3760e-014	2.5004e-012	7.4367e-014	1.0604e-005	
"20.10.2023 14:41:04.749"	9.8205e-012	8.0876e-014	3.4746e-013	5.1184e-014	2.4499e-012	7.5775e-014	1.0604e-005	
"20.10.2023 14:41:05.032"	9.9383e-012	8.0202e-014	3.5121e-013	5.2386e-014	2.5085e-012	7.6527e-014	1.0677e-005	
"20.10.2023 14:41:05.316"	9.9103e-012	8.0556e-014	3.3846e-013	4.9457e-014	2.3918e-012	7.3003e-014	1.0677e-005	
"20.10.2023 14:41:05.599"	9.6921e-012	8.2020e-014	3.4320e-013	5.0167e-014	2.4118e-012	7.4489e-014	1.0677e-005	
"20.10.2023 14:41:05.882"	9.8007e-012	8.0872e-014	3.3915e-013	4.9745e-014	2.3707e-012	7.5050e-014	1.0677e-005	
"20.10.2023 14:41:06.166"	9.9766e-012	8.0195e-014	3.3633e-013	4.8902e-014	2.3836e-012	7.1006e-014	1.0666e-005	
"20.10.2023 14:41:06.449"	9.6232e-012	8.1996e-014	3.3837e-013	4.9428e-014	2.3156e-012	7.4383e-014	1.0666e-005	
"20.10.2023 14:41:06.733"	9.7522e-012	8.1314e-014	3.4303e-013	4.9291e-014	2.3558e-012	7.3521e-014	1.0666e-005	
"20.10.2023 14:41:07.016"	9.9149e-012	8.0229e-014	3.3801e-013	4.9120e-014	2.3784e-012	7.5119e-014	1.0666e-005	
"20.10.2023 14:41:07.300"	9.7278e-012	8.2236e-014	3.4141e-013	5.0332e-014	2.3692e-012	7.3198e-014	1.0599e-005	
"20.10.2023 14:41:07.584"	9.9282e-012	8.1348e-014	3.4897e-013	5.1730e-014	2.3867e-012	7.5502e-014	1.0599e-005	
"20.10.2023 14:41:07.868"	1.0070e-011	7.8876e-014	3.5350e-013	5.3227e-014	2.5199e-012	7.4436e-014	1.0599e-005	
"20.10.2023 14:41:08.153"	9.7308e-012	8.1844e-014	3.4470e-013	5.0633e-014	2.3697e-012	7.5508e-014	1.0599e-005	
"20.10.2023 14:41:08.436"	9.8552e-012	8.0771e-014	3.4365e-013	5.0835e-014	2.3650e-012	7.5291e-014	1.0701e-005	
"20.10.2023 14:41:08.722"	9.9562e-012	8.0473e-014	3.4027e-013	5.0063e-014	2.4268e-012	7.3891e-014	1.0701e-005	
"20.10.2023 14:41:09.005"	9.7803e-012	8.1250e-014	3.4402e-013	5.0664e-014	2.3856e-012	7.4253e-014	1.0701e-005	
