"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"20.10.2023 14:39:30.334"	9.7976e-012	8.0336e-014	3.4177e-013	4.9706e-014	2.4154e-012	7.5766e-014	1.0626e-005	
"20.10.2023 14:39:30.618"	9.8276e-012	8.0729e-014	3.4150e-013	5.0384e-014	2.3403e-012	7.2800e-014	1.0626e-005	
"20.10.2023 14:39:30.901"	9.7120e-012	8.1771e-014	3.4283e-013	4.9955e-014	2.3126e-012	7.2417e-014	1.0626e-005	
"20.10.2023 14:39:31.185"	9.7808e-012	8.1803e-014	3.4095e-013	4.9491e-014	2.3969e-012	7.6546e-014	1.0626e-005	
"20.10.2023 14:39:31.468"	9.7802e-012	8.1455e-014	3.4399e-013	5.1542e-014	2.4545e-012	7.5534e-014	1.0566e-005	
"20.10.2023 14:39:31.752"	9.9724e-012	7.9850e-014	3.5158e-013	5.3168e-014	2.3372e-012	7.5301e-014	1.0566e-005	
"20.10.2023 14:39:32.035"	9.9378e-012	8.0542e-014	3.3435e-013	4.7537e-014	2.3254e-012	7.2715e-014	1.0566e-005	
"20.10.2023 14:39:32.319"	9.8139e-012	8.3089e-014	3.3766e-013	4.9272e-014	2.3928e-012	7.5943e-014	1.0566e-005	
"20.10.2023 14:39:32.602"	9.6543e-012	8.1975e-014	3.3852e-013	4.9360e-014	2.3650e-012	7.3294e-014	1.0554e-005	
"20.10.2023 14:39:32.886"	9.7272e-012	8.1554e-014	3.4166e-013	4.9863e-014	2.4139e-012	7.5501e-014	1.0554e-005	
"20.10.2023 14:39:33.169"	9.8328e-012	8.0510e-014	3.4077e-013	5.0881e-014	2.4479e-012	7.4414e-014	1.0554e-005	
"20.10.2023 14:39:33.453"	9.8858e-012	7.9691e-014	3.5010e-013	5.3036e-014	2.3393e-012	7.5015e-014	1.0552e-005	
"20.10.2023 14:39:33.736"	1.0025e-011	7.9793e-014	3.4569e-013	4.9207e-014	2.3527e-012	7.5512e-014	1.0552e-005	
"20.10.2023 14:39:34.020"	1.0101e-011	7.9124e-014	3.3483e-013	4.8617e-014	2.3800e-012	7.3384e-014	1.0552e-005	
"20.10.2023 14:39:34.303"	9.5901e-012	8.2083e-014	3.3804e-013	4.8768e-014	2.3198e-012	7.6368e-014	1.0552e-005	
"20.10.2023 14:39:34.586"	9.7660e-012	8.1100e-014	3.4368e-013	5.0568e-014	2.4314e-012	7.4049e-014	1.0562e-005	
"20.10.2023 14:39:34.870"	9.7894e-012	8.0862e-014	3.4073e-013	4.9821e-014	2.4108e-012	7.3404e-014	1.0562e-005	
"20.10.2023 14:39:35.153"	9.8068e-012	8.1662e-014	3.4285e-013	5.1047e-014	2.3238e-012	7.1853e-014	1.0562e-005	
"20.10.2023 14:39:35.436"	9.9954e-012	8.0240e-014	3.5315e-013	5.1897e-014	2.3357e-012	7.7925e-014	1.0562e-005	
"20.10.2023 14:39:35.720"	1.0275e-011	7.8851e-014	3.4579e-013	5.0562e-014	1.8748e-012	7.4086e-014	1.0533e-005	
"20.10.2023 14:39:36.003"	1.0282e-011	7.8590e-014	3.6414e-013	5.6501e-014	1.2640e-012	7.0194e-014	1.0533e-005	
"20.10.2023 14:39:36.287"	1.0646e-011	7.5860e-014	3.8911e-013	6.3401e-014	9.1186e-013	7.2009e-014	1.0533e-005	
"20.10.2023 14:39:36.570"	1.0523e-011	7.5939e-014	3.8401e-013	6.1713e-014	7.4267e-013	7.1951e-014	1.0533e-005	
"20.10.2023 14:39:36.854"	1.0627e-011	7.7538e-014	3.8935e-013	6.3981e-014	6.1579e-013	6.6524e-014	1.0682e-005	
"20.10.2023 14:39:37.139"	1.0566e-011	7.6104e-014	3.9742e-013	6.6560e-014	5.4346e-013	9.0031e-014	1.0682e-005	
"20.10.2023 14:39:37.423"	1.0737e-011	7.4677e-014	3.9467e-013	6.5818e-014	4.6579e-013	8.2183e-014	1.0682e-005	
