"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"20.10.2023 15:30:59.707"	1.0813e-011	7.5817e-014	2.7652e-013	3.4347e-014	1.9648e-012	7.4453e-014	1.1151e-005	
"20.10.2023 15:30:59.990"	1.0505e-011	7.7122e-014	2.6598e-013	3.2025e-014	1.8300e-012	6.9711e-014	1.1151e-005	
"20.10.2023 15:31:00.273"	1.0767e-011	7.5126e-014	2.6181e-013	3.0487e-014	1.8507e-012	7.3787e-014	1.1225e-005	
"20.10.2023 15:31:00.557"	1.0621e-011	7.8193e-014	2.6427e-013	3.1185e-014	1.8759e-012	7.4868e-014	1.1225e-005	
"20.10.2023 15:31:00.840"	1.0484e-011	7.7596e-014	2.6745e-013	3.1666e-014	1.8259e-012	7.4830e-014	1.1225e-005	
"20.10.2023 15:31:01.124"	1.0947e-011	7.3951e-014	2.7000e-013	3.1467e-014	1.8920e-012	7.1729e-014	1.1225e-005	
"20.10.2023 15:31:01.407"	1.0603e-011	7.6794e-014	2.6275e-013	3.0984e-014	1.8775e-012	7.4479e-014	1.1164e-005	
"20.10.2023 15:31:01.691"	1.0354e-011	7.8352e-014	2.6652e-013	3.0977e-014	1.8409e-012	7.4509e-014	1.1164e-005	
"20.10.2023 15:31:01.974"	1.0424e-011	7.7362e-014	2.6662e-013	3.1625e-014	1.8848e-012	7.3300e-014	1.1164e-005	
"20.10.2023 15:31:02.258"	1.0708e-011	7.5721e-014	2.7262e-013	3.2131e-014	1.9343e-012	7.6200e-014	1.1164e-005	
"20.10.2023 15:31:02.541"	1.0506e-011	7.7057e-014	2.6879e-013	3.2244e-014	1.8419e-012	7.3454e-014	1.1137e-005	
"20.10.2023 15:31:02.824"	1.0533e-011	7.6594e-014	2.6996e-013	3.2145e-014	1.9684e-012	7.6617e-014	1.1137e-005	
"20.10.2023 15:31:03.108"	1.0691e-011	7.5175e-014	2.6587e-013	3.1233e-014	1.8930e-012	7.3973e-014	1.1137e-005	
"20.10.2023 15:31:03.391"	1.0799e-011	7.3934e-014	2.8512e-013	3.4819e-014	1.9162e-012	7.6075e-014	1.1137e-005	
"20.10.2023 15:31:03.675"	1.0554e-011	7.5990e-014	2.7227e-013	3.1278e-014	1.8408e-012	7.4414e-014	1.1220e-005	
"20.10.2023 15:31:03.958"	1.0924e-011	7.4466e-014	2.5840e-013	3.0426e-014	1.4195e-012	7.4173e-014	1.1220e-005	
"20.10.2023 15:31:04.241"	1.1029e-011	7.3573e-014	2.8707e-013	3.6370e-014	9.3863e-013	7.1007e-014	1.1220e-005	
"20.10.2023 15:31:04.525"	1.1054e-011	7.3824e-014	2.9318e-013	3.7009e-014	6.5887e-013	6.8014e-014	1.1220e-005	
"20.10.2023 15:31:04.808"	1.1338e-011	7.1528e-014	3.0067e-013	3.9773e-014	5.6572e-013	9.2866e-014	1.1202e-005	
"20.10.2023 15:31:05.092"	1.1034e-011	7.4795e-014	2.9655e-013	3.8616e-014	4.3631e-013	7.6278e-014	1.1202e-005	
"20.10.2023 15:31:05.375"	1.1082e-011	7.2427e-014	3.0869e-013	4.1027e-014	3.9921e-013	6.7163e-014	1.1202e-005	
"20.10.2023 15:31:05.659"	1.1326e-011	7.1982e-014	3.1390e-013	4.3386e-014	3.4214e-013	5.0973e-014	1.1202e-005	
"20.10.2023 15:31:05.942"	1.1137e-011	7.3479e-014	3.2482e-013	4.5357e-014	3.0926e-013	4.1509e-014	1.1287e-005	
"20.10.2023 15:31:06.226"	1.1281e-011	7.2506e-014	3.3778e-013	4.9720e-014	2.7529e-013	3.3562e-014	1.1287e-005	
"20.10.2023 15:31:06.509"	1.1182e-011	7.2624e-014	3.2846e-013	4.5802e-014	2.4903e-013	2.7874e-014	1.1287e-005	
"20.10.2023 15:31:06.793"	1.1273e-011	7.3115e-014	3.3780e-013	4.8678e-014	2.3453e-013	2.4970e-014	1.1287e-005	
"20.10.2023 15:31:07.076"	1.1070e-011	7.3809e-014	3.3125e-013	4.7820e-014	2.0203e-013	2.0415e-014	1.1257e-005	
"20.10.2023 15:31:07.360"	1.1693e-011	6.9226e-014	3.2882e-013	4.6733e-014	1.9205e-013	1.8824e-014	1.1257e-005	
"20.10.2023 15:31:07.643"	1.1351e-011	7.2682e-014	3.2687e-013	4.5945e-014	1.7134e-013	1.6614e-014	1.1257e-005	
"20.10.2023 15:31:07.927"	1.1211e-011	7.2903e-014	3.3428e-013	4.7777e-014	1.5492e-013	1.4299e-014	1.1252e-005	
"20.10.2023 15:31:08.210"	1.1343e-011	7.2761e-014	3.3084e-013	4.6538e-014	1.4509e-013	1.3433e-014	1.1252e-005	
"20.10.2023 15:31:08.493"	1.1593e-011	7.0620e-014	3.2753e-013	4.6547e-014	1.3205e-013	1.2237e-014	1.1252e-005	
"20.10.2023 15:31:08.777"	1.1113e-011	7.1717e-014	3.2657e-013	4.6126e-014	1.2186e-013	1.0629e-014	1.1252e-005	
"20.10.2023 15:31:09.060"	1.1475e-011	7.0024e-014	3.3056e-013	4.6282e-014	1.0815e-013	9.8765e-015	1.1314e-005	
"20.10.2023 15:31:09.345"	1.1368e-011	7.1434e-014	3.2305e-013	4.4859e-014	9.9236e-014	8.8776e-015	1.1314e-005	
"20.10.2023 15:31:09.629"	1.1185e-011	7.3030e-014	3.2788e-013	4.5328e-014	9.0124e-014	7.7582e-015	1.1314e-005	
"20.10.2023 15:31:09.913"	1.1400e-011	7.0212e-014	3.3539e-013	4.8342e-014	8.9029e-014	7.8667e-015	1.1314e-005	
"20.10.2023 15:31:10.197"	1.1606e-011	7.1062e-014	3.2519e-013	4.5617e-014	7.7290e-014	6.6495e-015	1.1315e-005	
"20.10.2023 15:31:10.482"	1.1063e-011	7.3543e-014	3.2412e-013	4.5213e-014	6.9026e-014	6.0714e-015	1.1315e-005	
"20.10.2023 15:31:10.766"	1.1481e-011	7.0656e-014	3.3514e-013	4.7484e-014	6.4913e-014	5.5576e-015	1.1315e-005	
"20.10.2023 15:31:11.049"	1.1421e-011	7.2378e-014	3.2278e-013	4.4472e-014	5.8962e-014	5.2524e-015	1.1315e-005	
"20.10.2023 15:31:11.332"	1.1319e-011	7.0744e-014	3.3137e-013	4.7291e-014	5.4946e-014	4.6361e-015	1.1318e-005	
"20.10.2023 15:31:11.616"	1.1272e-011	7.2137e-014	3.2832e-013	4.6212e-014	4.9135e-014	4.3190e-015	1.1318e-005	
"20.10.2023 15:31:11.899"	1.1921e-011	6.7830e-014	3.2808e-013	4.6214e-014	4.7088e-014	4.1068e-015	1.1318e-005	
"20.10.2023 15:31:12.183"	1.1194e-011	7.2480e-014	3.2539e-013	4.5712e-014	4.1771e-014	3.6085e-015	1.1318e-005	
