Sourcefile	20240228 155111 RI_Tuana_CO_20240602.qmp
Exporttime	28.02.2024 03:55:07.870 

Start Time	28.02.2024 03:52:34.431 
End Time	28.02.2024 03:52:54.628 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
28.02.2024 03:52:34.431 	0.000	6.137077e-007	28.02.2024 03:52:34.480 	0.050	1.669301e-008	28.02.2024 03:52:34.530 	0.100	2.290310e-009	28.02.2024 03:52:34.579 	0.149	2.842639e-008
28.02.2024 03:52:34.631 	0.200	6.137126e-007	28.02.2024 03:52:34.680 	0.249	1.670667e-008	28.02.2024 03:52:34.729 	0.299	2.292525e-009	28.02.2024 03:52:34.780 	0.349	2.841213e-008
28.02.2024 03:52:34.830 	0.399	6.136798e-007	28.02.2024 03:52:34.880 	0.449	1.669660e-008	28.02.2024 03:52:34.929 	0.499	2.289823e-009	28.02.2024 03:52:34.979 	0.549	2.843746e-008
28.02.2024 03:52:35.031 	0.600	6.137217e-007	28.02.2024 03:52:35.080 	0.650	1.669959e-008	28.02.2024 03:52:35.130 	0.700	2.292142e-009	28.02.2024 03:52:35.181 	0.750	2.842838e-008
28.02.2024 03:52:35.231 	0.800	6.135240e-007	28.02.2024 03:52:35.280 	0.850	1.670293e-008	28.02.2024 03:52:35.330 	0.900	2.290525e-009	28.02.2024 03:52:35.381 	0.950	2.845615e-008
28.02.2024 03:52:35.432 	1.001	6.136896e-007	28.02.2024 03:52:35.481 	1.051	1.671248e-008	28.02.2024 03:52:35.532 	1.101	2.297797e-009	28.02.2024 03:52:35.582 	1.151	2.844859e-008
28.02.2024 03:52:35.632 	1.201	6.137018e-007	28.02.2024 03:52:35.681 	1.251	1.668257e-008	28.02.2024 03:52:35.731 	1.301	2.294096e-009	28.02.2024 03:52:35.782 	1.351	2.844601e-008
28.02.2024 03:52:35.832 	1.402	6.133881e-007	28.02.2024 03:52:35.882 	1.452	1.671133e-008	28.02.2024 03:52:35.933 	1.502	2.295882e-009	28.02.2024 03:52:35.983 	1.552	2.845150e-008
28.02.2024 03:52:36.032 	1.602	6.135202e-007	28.02.2024 03:52:36.082 	1.652	1.671904e-008	28.02.2024 03:52:36.133 	1.702	2.291051e-009	28.02.2024 03:52:36.183 	1.752	2.847264e-008
28.02.2024 03:52:36.232 	1.802	6.134904e-007	28.02.2024 03:52:36.282 	1.852	1.671034e-008	28.02.2024 03:52:36.333 	1.902	2.296172e-009	28.02.2024 03:52:36.383 	1.952	2.845653e-008
28.02.2024 03:52:36.433 	2.003	6.136202e-007	28.02.2024 03:52:36.482 	2.052	1.671057e-008	28.02.2024 03:52:36.533 	2.102	2.294806e-009	28.02.2024 03:52:36.583 	2.152	2.846081e-008
28.02.2024 03:52:36.632 	2.202	6.133715e-007	28.02.2024 03:52:36.682 	2.252	1.671583e-008	28.02.2024 03:52:36.734 	2.303	2.290470e-009	28.02.2024 03:52:36.784 	2.353	2.845265e-008
28.02.2024 03:52:36.833 	2.403	6.134822e-007	28.02.2024 03:52:36.883 	2.453	1.670362e-008	28.02.2024 03:52:36.934 	2.503	2.297964e-009	28.02.2024 03:52:36.984 	2.553	2.845829e-008
28.02.2024 03:52:37.033 	2.603	6.131563e-007	28.02.2024 03:52:37.084 	2.653	1.670790e-008	28.02.2024 03:52:37.134 	2.703	2.296155e-009	28.02.2024 03:52:37.184 	2.753	2.847677e-008
28.02.2024 03:52:37.233 	2.803	6.131196e-007	28.02.2024 03:52:37.283 	2.853	1.670217e-008	28.02.2024 03:52:37.335 	2.904	2.295142e-009	28.02.2024 03:52:37.384 	2.954	2.848172e-008
28.02.2024 03:52:37.434 	3.004	6.134003e-007	28.02.2024 03:52:37.485 	3.054	1.670988e-008	28.02.2024 03:52:37.535 	3.104	2.295705e-009	28.02.2024 03:52:37.584 	3.154	2.846974e-008
28.02.2024 03:52:37.634 	3.204	6.132882e-007	28.02.2024 03:52:37.685 	3.254	1.673079e-008	28.02.2024 03:52:37.735 	3.304	2.297796e-009	28.02.2024 03:52:37.784 	3.353	2.847164e-008
28.02.2024 03:52:37.833 	3.403	6.131118e-007	28.02.2024 03:52:37.885 	3.454	1.671118e-008	28.02.2024 03:52:37.935 	3.504	2.296591e-009	28.02.2024 03:52:37.984 	3.554	2.848966e-008
28.02.2024 03:52:38.034 	3.604	6.133545e-007	28.02.2024 03:52:38.085 	3.654	1.671957e-008	28.02.2024 03:52:38.135 	3.704	2.296643e-009	28.02.2024 03:52:38.184 	3.754	2.846356e-008
28.02.2024 03:52:38.234 	3.804	6.128738e-007	28.02.2024 03:52:38.285 	3.854	1.671667e-008	28.02.2024 03:52:38.335 	3.904	2.297721e-009	28.02.2024 03:52:38.384 	3.954	2.845661e-008
28.02.2024 03:52:38.434 	4.004	6.129053e-007	28.02.2024 03:52:38.485 	4.054	1.671499e-008	28.02.2024 03:52:38.535 	4.104	2.290013e-009	28.02.2024 03:52:38.584 	4.154	2.847653e-008
28.02.2024 03:52:38.634 	4.204	6.128677e-007	28.02.2024 03:52:38.686 	4.255	1.670775e-008	28.02.2024 03:52:38.736 	4.305	2.295850e-009	28.02.2024 03:52:38.785 	4.355	2.847729e-008
28.02.2024 03:52:38.835 	4.405	6.132095e-007	28.02.2024 03:52:38.886 	4.455	1.673529e-008	28.02.2024 03:52:38.936 	4.505	2.297713e-009	28.02.2024 03:52:38.985 	4.555	2.849981e-008
28.02.2024 03:52:39.036 	4.605	6.131477e-007	28.02.2024 03:52:39.086 	4.655	1.673522e-008	28.02.2024 03:52:39.136 	4.705	2.295141e-009	28.02.2024 03:52:39.185 	4.755	2.848485e-008
28.02.2024 03:52:39.235 	4.805	6.132761e-007	28.02.2024 03:52:39.286 	4.855	1.670515e-008	28.02.2024 03:52:39.336 	4.905	2.294767e-009	28.02.2024 03:52:39.385 	4.955	2.845646e-008
28.02.2024 03:52:39.436 	5.005	6.128472e-007	28.02.2024 03:52:39.486 	5.055	1.671721e-008	28.02.2024 03:52:39.536 	5.105	2.295424e-009	28.02.2024 03:52:39.585 	5.155	2.848416e-008
28.02.2024 03:52:39.635 	5.205	6.130647e-007	28.02.2024 03:52:39.687 	5.256	1.672545e-008	28.02.2024 03:52:39.736 	5.306	2.294851e-009	28.02.2024 03:52:39.786 	5.356	2.849896e-008
28.02.2024 03:52:39.837 	5.406	6.132196e-007	28.02.2024 03:52:39.887 	5.456	1.673170e-008	28.02.2024 03:52:39.936 	5.506	2.296744e-009	28.02.2024 03:52:39.986 	5.556	2.850569e-008
28.02.2024 03:52:40.037 	5.606	6.134308e-007	28.02.2024 03:52:40.087 	5.656	1.672178e-008	28.02.2024 03:52:40.136 	5.706	2.295583e-009	28.02.2024 03:52:40.186 	5.756	2.851857e-008
28.02.2024 03:52:40.237 	5.806	6.132645e-007	28.02.2024 03:52:40.287 	5.856	1.672399e-008	28.02.2024 03:52:40.336 	5.906	2.299306e-009	28.02.2024 03:52:40.386 	5.956	2.851292e-008
