Sourcefile	20240228 173334 RI_Tuana_CO_20240602.qmp
Exporttime	28.02.2024 05:36:03.024 

Start Time	28.02.2024 05:34:34.864 
End Time	28.02.2024 05:34:54.070 

		H2			He			Ar			CO	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
28.02.2024 05:34:34.864 	0.000	6.468690e-007	28.02.2024 05:34:34.913 	0.050	7.933402e-009	28.02.2024 05:34:34.965 	0.101	1.015924e-009	28.02.2024 05:34:35.015 	0.151	1.273524e-008
28.02.2024 05:34:35.064 	0.201	6.466212e-007	28.02.2024 05:34:35.114 	0.251	7.924625e-009	28.02.2024 05:34:35.165 	0.301	1.020900e-009	28.02.2024 05:34:35.215 	0.351	1.275714e-008
28.02.2024 05:34:35.264 	0.401	6.464650e-007	28.02.2024 05:34:35.314 	0.451	7.920435e-009	28.02.2024 05:34:35.365 	0.501	1.016192e-009	28.02.2024 05:34:35.415 	0.551	1.275394e-008
28.02.2024 05:34:35.464 	0.601	6.464496e-007	28.02.2024 05:34:35.514 	0.651	7.909216e-009	28.02.2024 05:34:35.566 	0.702	1.017085e-009	28.02.2024 05:34:35.616 	0.752	1.277416e-008
28.02.2024 05:34:35.665 	0.802	6.469922e-007	28.02.2024 05:34:35.715 	0.852	7.923330e-009	28.02.2024 05:34:35.766 	0.902	1.019251e-009	28.02.2024 05:34:35.815 	0.951	1.277164e-008
28.02.2024 05:34:35.865 	1.002	6.470310e-007	28.02.2024 05:34:35.916 	1.052	7.915245e-009	28.02.2024 05:34:35.966 	1.102	1.017870e-009	28.02.2024 05:34:36.016 	1.152	1.276691e-008
28.02.2024 05:34:36.066 	1.203	6.470189e-007	28.02.2024 05:34:36.117 	1.253	7.915474e-009	28.02.2024 05:34:36.167 	1.303	1.018695e-009	28.02.2024 05:34:36.216 	1.353	1.276676e-008
28.02.2024 05:34:36.266 	1.403	6.470464e-007	28.02.2024 05:34:36.317 	1.453	7.913868e-009	28.02.2024 05:34:36.367 	1.503	1.016672e-009	28.02.2024 05:34:36.416 	1.553	1.276576e-008
28.02.2024 05:34:36.467 	1.604	6.470693e-007	28.02.2024 05:34:36.518 	1.654	7.914250e-009	28.02.2024 05:34:36.568 	1.704	1.016306e-009	28.02.2024 05:34:36.617 	1.754	1.273990e-008
28.02.2024 05:34:36.668 	1.804	6.466619e-007	28.02.2024 05:34:36.718 	1.854	7.912723e-009	28.02.2024 05:34:36.768 	1.904	1.018130e-009	28.02.2024 05:34:36.817 	1.954	1.275653e-008
28.02.2024 05:34:36.867 	2.004	6.469023e-007	28.02.2024 05:34:36.918 	2.054	7.917606e-009	28.02.2024 05:34:36.968 	2.104	1.018031e-009	28.02.2024 05:34:37.017 	2.154	1.275356e-008
28.02.2024 05:34:37.068 	2.204	6.466282e-007	28.02.2024 05:34:37.118 	2.254	7.904330e-009	28.02.2024 05:34:37.168 	2.305	1.016497e-009	28.02.2024 05:34:37.218 	2.355	1.274990e-008
28.02.2024 05:34:37.269 	2.405	6.467785e-007	28.02.2024 05:34:37.319 	2.455	7.919057e-009	28.02.2024 05:34:37.368 	2.505	1.018748e-009	28.02.2024 05:34:37.418 	2.555	1.275622e-008
28.02.2024 05:34:37.470 	2.606	6.468898e-007	28.02.2024 05:34:37.520 	2.656	7.904252e-009	28.02.2024 05:34:37.569 	2.706	1.015261e-009	28.02.2024 05:34:37.619 	2.756	1.276058e-008
28.02.2024 05:34:37.670 	2.806	6.469317e-007	28.02.2024 05:34:37.720 	2.856	7.906087e-009	28.02.2024 05:34:37.769 	2.906	1.016107e-009	28.02.2024 05:34:37.820 	2.956	1.273341e-008
28.02.2024 05:34:37.870 	3.006	6.467365e-007	28.02.2024 05:34:37.920 	3.056	7.915167e-009	28.02.2024 05:34:37.969 	3.106	1.016642e-009	28.02.2024 05:34:38.019 	3.156	1.274631e-008
28.02.2024 05:34:38.070 	3.206	6.470083e-007	28.02.2024 05:34:38.120 	3.256	7.922566e-009	28.02.2024 05:34:38.169 	3.306	1.016543e-009	28.02.2024 05:34:38.220 	3.356	1.275638e-008
28.02.2024 05:34:38.270 	3.406	6.470598e-007	28.02.2024 05:34:38.320 	3.456	7.918146e-009	28.02.2024 05:34:38.369 	3.506	1.015986e-009	28.02.2024 05:34:38.421 	3.557	1.274997e-008
28.02.2024 05:34:38.470 	3.606	6.467778e-007	28.02.2024 05:34:38.520 	3.656	7.913407e-009	28.02.2024 05:34:38.569 	3.706	1.013803e-009	28.02.2024 05:34:38.621 	3.757	1.274295e-008
