"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"20.10.2023 14:44:08.481"	1.0177e-011	7.8153e-014	3.4084e-013	4.9933e-014	2.4032e-012	7.1333e-014	1.0792e-005	
"20.10.2023 14:44:08.767"	9.9976e-012	8.1524e-014	3.4457e-013	5.1673e-014	2.4629e-012	7.3917e-014	1.0792e-005	
"20.10.2023 14:44:09.051"	9.9833e-012	8.0041e-014	3.5366e-013	5.3364e-014	2.4316e-012	7.5943e-014	1.0792e-005	
"20.10.2023 14:44:09.334"	1.0187e-011	7.8700e-014	3.5632e-013	5.4524e-014	2.5699e-012	7.4618e-014	1.0748e-005	
"20.10.2023 14:44:09.618"	1.0559e-011	7.8414e-014	3.6790e-013	5.7744e-014	2.6490e-012	7.5023e-014	1.0748e-005	
"20.10.2023 14:44:09.901"	9.8732e-012	8.0443e-014	3.4634e-013	5.2020e-014	2.3518e-012	7.6213e-014	1.0748e-005	
"20.10.2023 14:44:10.184"	9.8150e-012	8.1392e-014	3.4544e-013	5.0717e-014	2.4613e-012	7.1966e-014	1.0748e-005	
"20.10.2023 14:44:10.468"	9.9195e-012	8.0295e-014	3.5450e-013	5.3510e-014	2.5096e-012	7.4373e-014	1.0918e-005	
"20.10.2023 14:44:10.751"	9.7671e-012	8.0486e-014	3.4167e-013	5.1139e-014	2.4197e-012	7.4460e-014	1.0918e-005	
"20.10.2023 14:44:11.035"	9.9099e-012	8.0774e-014	3.4906e-013	5.1900e-014	2.5087e-012	7.3148e-014	1.0918e-005	
"20.10.2023 14:44:11.318"	9.9206e-012	8.0395e-014	3.3781e-013	4.8942e-014	2.3832e-012	7.6210e-014	1.0704e-005	
"20.10.2023 14:44:11.601"	9.8222e-012	8.1023e-014	3.4652e-013	5.1956e-014	2.4336e-012	7.4950e-014	1.0704e-005	
"20.10.2023 14:44:11.885"	9.8135e-012	8.1083e-014	3.4813e-013	5.0924e-014	2.3878e-012	7.0495e-014	1.0704e-005	
"20.10.2023 14:44:12.168"	9.9589e-012	8.0221e-014	3.4255e-013	4.9881e-014	2.4146e-012	7.4110e-014	1.0704e-005	
"20.10.2023 14:44:12.452"	9.8384e-012	8.0965e-014	3.4672e-013	5.1655e-014	2.4124e-012	7.3260e-014	1.0705e-005	
"20.10.2023 14:44:12.735"	1.0087e-011	7.9387e-014	3.5434e-013	5.3467e-014	2.4387e-012	7.5018e-014	1.0705e-005	
"20.10.2023 14:44:13.019"	1.0025e-011	8.0593e-014	3.3934e-013	5.0606e-014	2.4320e-012	7.1337e-014	1.0705e-005	
"20.10.2023 14:44:13.302"	9.9578e-012	8.1010e-014	3.5385e-013	5.3258e-014	2.0742e-012	7.5000e-014	1.0705e-005	
"20.10.2023 14:44:13.586"	1.0279e-011	7.8427e-014	3.6167e-013	5.6757e-014	1.4308e-012	7.5618e-014	1.0805e-005	
"20.10.2023 14:44:13.869"	1.0468e-011	7.7269e-014	3.6668e-013	5.7051e-014	9.8483e-013	7.1623e-014	1.0805e-005	
"20.10.2023 14:44:14.153"	1.0518e-011	7.6636e-014	3.8152e-013	6.2468e-014	7.7545e-013	7.0506e-014	1.0805e-005	
"20.10.2023 14:44:14.436"	1.0503e-011	7.6986e-014	3.8990e-013	6.4396e-014	6.2899e-013	6.7458e-014	1.0805e-005	
"20.10.2023 14:44:14.719"	1.0835e-011	7.4959e-014	3.9289e-013	6.4253e-014	5.4879e-013	9.1601e-014	1.0807e-005	
"20.10.2023 14:44:15.003"	1.0670e-011	7.7865e-014	3.9706e-013	6.6170e-014	4.8123e-013	8.4458e-014	1.0807e-005	
"20.10.2023 14:44:15.286"	1.0684e-011	7.6040e-014	4.1637e-013	7.1112e-014	4.2270e-013	7.3706e-014	1.0807e-005	
"20.10.2023 14:44:15.570"	1.0708e-011	7.5876e-014	4.1818e-013	7.2459e-014	3.9341e-013	6.5676e-014	1.0807e-005	
"20.10.2023 14:44:15.853"	1.0837e-011	7.5333e-014	4.2512e-013	7.3406e-014	3.5513e-013	5.3849e-014	1.0825e-005	
"20.10.2023 14:44:16.137"	1.0545e-011	7.6124e-014	4.3334e-013	7.4971e-014	3.2031e-013	4.5107e-014	1.0825e-005	
"20.10.2023 14:44:16.420"	1.0720e-011	7.5181e-014	4.3252e-013	7.4920e-014	2.8594e-013	3.6084e-014	1.0825e-005	
"20.10.2023 14:44:16.703"	1.1117e-011	7.5741e-014	4.4538e-013	7.7390e-014	2.7116e-013	3.2087e-014	1.0825e-005	
"20.10.2023 14:44:16.987"	1.0549e-011	7.6983e-014	4.3804e-013	7.6248e-014	2.3194e-013	2.4910e-014	1.0826e-005	
"20.10.2023 14:44:17.270"	1.0700e-011	7.5723e-014	4.2954e-013	7.4613e-014	2.1366e-013	2.2100e-014	1.0826e-005	
"20.10.2023 14:44:17.554"	1.1176e-011	7.5056e-014	4.3724e-013	7.5711e-014	2.0051e-013	2.0101e-014	1.0826e-005	
"20.10.2023 14:44:17.837"	1.0704e-011	7.5924e-014	4.3648e-013	7.6506e-014	1.7618e-013	1.7372e-014	1.0826e-005	
"20.10.2023 14:44:18.121"	1.1169e-011	7.2319e-014	4.5940e-013	8.0216e-014	1.7541e-013	1.6831e-014	1.0813e-005	
"20.10.2023 14:44:18.405"	1.1309e-011	7.1187e-014	4.3873e-013	7.6652e-014	1.5274e-013	1.4471e-014	1.0813e-005	
"20.10.2023 14:44:18.688"	1.0549e-011	7.6768e-014	4.3003e-013	7.3661e-014	1.3254e-013	1.1836e-014	1.0813e-005	
"20.10.2023 14:44:18.971"	1.0619e-011	7.6882e-014	4.2853e-013	7.3837e-014	1.2062e-013	1.0772e-014	1.0947e-005	
"20.10.2023 14:44:19.255"	1.0795e-011	7.3685e-014	4.2072e-013	7.2226e-014	1.0922e-013	1.0148e-014	1.0947e-005	
"20.10.2023 14:44:19.538"	1.0615e-011	7.6700e-014	4.2299e-013	7.3153e-014	1.0045e-013	9.0886e-015	1.0947e-005	
"20.10.2023 14:44:19.821"	1.0879e-011	7.4156e-014	4.3791e-013	7.6286e-014	9.5575e-014	8.2887e-015	1.0947e-005	
