"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"20.10.2023 11:30:29.902"	9.3902e-012	8.3558e-014	4.9679e-013	8.7340e-014	3.3336e-012	7.5091e-014	9.3122e-006	
"20.10.2023 11:30:30.187"	9.2602e-012	8.5761e-014	5.0112e-013	8.8014e-014	3.3013e-012	7.3359e-014	9.3122e-006	
"20.10.2023 11:30:30.470"	9.3148e-012	8.5137e-014	5.0855e-013	8.8225e-014	3.2962e-012	7.5091e-014	9.3122e-006	
"20.10.2023 11:30:30.754"	9.3928e-012	8.4981e-014	4.9684e-013	8.7321e-014	3.3326e-012	7.5360e-014	9.3007e-006	
"20.10.2023 11:30:31.038"	9.2786e-012	8.4447e-014	5.0064e-013	8.7778e-014	3.3203e-012	7.6204e-014	9.3007e-006	
"20.10.2023 11:30:31.322"	9.3041e-012	8.6196e-014	5.0781e-013	8.8182e-014	3.2941e-012	7.1855e-014	9.3007e-006	
"20.10.2023 11:30:31.605"	9.3724e-012	8.4674e-014	4.9943e-013	8.7631e-014	3.3259e-012	7.7219e-014	9.3007e-006	
"20.10.2023 11:30:31.890"	9.3107e-012	8.5831e-014	5.0564e-013	8.8028e-014	3.3382e-012	7.5590e-014	9.3069e-006	
"20.10.2023 11:30:32.173"	9.3020e-012	8.5037e-014	5.0395e-013	8.8203e-014	3.2911e-012	7.6209e-014	9.3069e-006	
"20.10.2023 11:30:32.456"	9.3689e-012	8.5099e-014	5.0046e-013	8.7440e-014	3.3295e-012	7.4114e-014	9.3069e-006	
"20.10.2023 11:30:32.740"	9.3382e-012	8.5825e-014	5.0072e-013	8.8149e-014	3.3367e-012	7.2671e-014	9.3069e-006	
"20.10.2023 11:30:33.023"	9.3035e-012	8.5084e-014	5.0675e-013	8.8342e-014	3.2869e-012	7.5059e-014	9.3001e-006	
"20.10.2023 11:30:33.307"	9.3556e-012	8.4831e-014	5.0111e-013	8.7607e-014	3.3208e-012	7.5966e-014	9.3001e-006	
"20.10.2023 11:30:33.590"	9.3979e-012	8.6407e-014	5.0065e-013	8.7794e-014	3.3428e-012	7.4626e-014	9.3001e-006	
"20.10.2023 11:30:33.873"	9.2867e-012	8.5583e-014	5.0485e-013	8.8298e-014	3.2900e-012	7.3221e-014	9.3001e-006	
"20.10.2023 11:30:34.157"	9.3668e-012	8.4713e-014	5.0045e-013	8.7388e-014	3.3172e-012	7.3629e-014	9.3014e-006	
"20.10.2023 11:30:34.440"	9.3938e-012	8.4581e-014	5.0125e-013	8.7781e-014	3.3454e-012	7.5590e-014	9.3014e-006	
"20.10.2023 11:30:34.724"	9.2842e-012	8.5986e-014	5.0602e-013	8.8070e-014	3.2916e-012	7.4215e-014	9.3014e-006	
"20.10.2023 11:30:35.007"	9.3464e-012	8.5067e-014	5.0184e-013	8.7248e-014	3.3156e-012	7.4970e-014	9.3014e-006	
"20.10.2023 11:30:35.291"	9.3974e-012	8.5293e-014	4.9891e-013	8.8002e-014	3.3306e-012	7.3586e-014	9.3100e-006	
"20.10.2023 11:30:35.575"	9.2797e-012	8.5574e-014	5.0630e-013	8.8216e-014	3.2865e-012	7.6735e-014	9.3100e-006	
"20.10.2023 11:30:35.858"	9.3551e-012	8.4955e-014	5.0706e-013	8.7579e-014	3.3105e-012	7.6706e-014	9.3100e-006	
"20.10.2023 11:30:36.141"	9.3780e-012	8.5485e-014	4.9779e-013	8.7732e-014	3.3351e-012	7.4843e-014	9.3100e-006	
"20.10.2023 11:30:36.425"	9.2642e-012	8.5237e-014	5.0106e-013	8.7939e-014	3.2987e-012	7.2926e-014	9.3139e-006	
"20.10.2023 11:30:36.708"	9.3332e-012	8.5149e-014	5.0565e-013	8.7972e-014	3.3085e-012	7.4529e-014	9.3139e-006	
"20.10.2023 11:30:36.992"	9.3678e-012	8.4509e-014	4.9833e-013	8.7653e-014	3.3316e-012	7.2134e-014	9.3139e-006	
"20.10.2023 11:30:37.275"	9.2623e-012	8.5406e-014	5.0388e-013	8.7994e-014	3.3116e-012	7.3113e-014	9.3139e-006	
"20.10.2023 11:30:37.559"	9.3270e-012	8.5866e-014	5.0350e-013	8.8233e-014	3.2977e-012	7.6233e-014	9.3206e-006	
"20.10.2023 11:30:37.842"	9.3663e-012	8.4577e-014	4.9402e-013	8.7555e-014	3.3254e-012	7.2138e-014	9.3206e-006	
"20.10.2023 11:30:38.126"	9.2888e-012	8.5075e-014	5.0604e-013	8.7929e-014	3.3131e-012	7.2052e-014	9.3206e-006	
"20.10.2023 11:30:38.409"	9.3204e-012	8.4581e-014	5.0519e-013	8.8475e-014	3.2880e-012	7.7836e-014	9.3105e-006	
"20.10.2023 11:30:38.692"	9.3984e-012	8.5317e-014	5.0762e-013	8.8704e-014	2.9961e-012	7.3440e-014	9.3105e-006	
"20.10.2023 11:30:38.976"	9.6952e-012	8.2831e-014	5.5370e-013	9.2524e-014	2.0409e-012	7.4913e-014	9.3105e-006	
"20.10.2023 11:30:39.259"	9.8986e-012	8.1717e-014	5.7923e-013	6.8969e-014	1.4930e-012	7.4660e-014	9.3105e-006	
"20.10.2023 11:30:39.543"	1.0101e-011	8.0535e-014	5.8531e-013	6.9211e-014	1.2053e-012	7.4061e-014	9.3163e-006	
"20.10.2023 11:30:39.826"	1.0181e-011	8.1536e-014	5.9492e-013	6.5365e-014	1.0205e-012	6.9570e-014	9.3163e-006	
