"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"13.10.2023 14:12:31.303"	1.1982e-011	6.8944e-014	2.8172e-013	3.4955e-014	1.8246e-012	7.4512e-014	9.5958e-006	
"13.10.2023 14:12:31.587"	1.1982e-011	7.0683e-014	2.8586e-013	3.5089e-014	1.8417e-012	7.6071e-014	9.5958e-006	
"13.10.2023 14:12:31.870"	1.1861e-011	7.0380e-014	2.9023e-013	3.6133e-014	1.8018e-012	7.7760e-014	9.5958e-006	
"13.10.2023 14:12:32.154"	1.1959e-011	6.8677e-014	2.8635e-013	3.5169e-014	1.8276e-012	7.7161e-014	9.5984e-006	
"13.10.2023 14:12:32.437"	1.2026e-011	7.0671e-014	2.8698e-013	3.5438e-014	1.8469e-012	7.6424e-014	9.5984e-006	
"13.10.2023 14:12:32.720"	1.1857e-011	6.9104e-014	2.8813e-013	3.6352e-014	1.8029e-012	7.5249e-014	9.5984e-006	
"13.10.2023 14:12:33.004"	1.1949e-011	6.8240e-014	2.8524e-013	3.4583e-014	1.8245e-012	7.5867e-014	9.5984e-006	
"13.10.2023 14:12:33.287"	1.2035e-011	6.8817e-014	2.8431e-013	3.5423e-014	1.8468e-012	7.8769e-014	9.5946e-006	
"13.10.2023 14:12:33.571"	1.1833e-011	6.9723e-014	2.8255e-013	3.5970e-014	1.8064e-012	7.5550e-014	9.5946e-006	
"13.10.2023 14:12:33.854"	1.1947e-011	6.8877e-014	2.8709e-013	3.4868e-014	1.8189e-012	7.8119e-014	9.5946e-006	
"13.10.2023 14:12:34.137"	1.2033e-011	6.9020e-014	2.8335e-013	3.5178e-014	1.8390e-012	7.5121e-014	9.5946e-006	
"13.10.2023 14:12:34.421"	1.1850e-011	7.0501e-014	2.8930e-013	3.5690e-014	1.8096e-012	7.5035e-014	9.5944e-006	
"13.10.2023 14:12:34.704"	1.1923e-011	7.0423e-014	2.8698e-013	3.5103e-014	1.8194e-012	7.6145e-014	9.5944e-006	
"13.10.2023 14:12:34.988"	1.2038e-011	6.8952e-014	2.8457e-013	3.5027e-014	1.8405e-012	7.6577e-014	9.5944e-006	
"13.10.2023 14:12:35.271"	1.1813e-011	6.9644e-014	2.8782e-013	3.5898e-014	1.8100e-012	7.7721e-014	9.5944e-006	
"13.10.2023 14:12:35.554"	1.1928e-011	6.9361e-014	2.8714e-013	3.5511e-014	1.8112e-012	7.4016e-014	9.5959e-006	
"13.10.2023 14:12:35.838"	1.2020e-011	6.8581e-014	2.8285e-013	3.4949e-014	1.8375e-012	7.3761e-014	9.5959e-006	
"13.10.2023 14:12:36.122"	1.1807e-011	6.9646e-014	2.8463e-013	3.5868e-014	1.8096e-012	7.3711e-014	9.5959e-006	
"13.10.2023 14:12:36.405"	1.1924e-011	6.8963e-014	2.8434e-013	3.5739e-014	1.8163e-012	7.6735e-014	9.5959e-006	
"13.10.2023 14:12:36.689"	1.2025e-011	6.8728e-014	2.8350e-013	3.4874e-014	1.8385e-012	7.5170e-014	9.5928e-006	
"13.10.2023 14:12:36.972"	1.1822e-011	7.0092e-014	2.8668e-013	3.5337e-014	1.8173e-012	7.6984e-014	9.5928e-006	
"13.10.2023 14:12:37.256"	1.1898e-011	6.9887e-014	2.8979e-013	3.6510e-014	1.7724e-012	7.6702e-014	9.5928e-006	
"13.10.2023 14:12:37.539"	1.2191e-011	6.7976e-014	3.1090e-013	4.1176e-014	1.1874e-012	7.6753e-014	9.5928e-006	
"13.10.2023 14:12:37.823"	1.2235e-011	6.7839e-014	3.2804e-013	4.5183e-014	8.1639e-013	7.2383e-014	9.5948e-006	
"13.10.2023 14:12:38.106"	1.2407e-011	6.6176e-014	3.3300e-013	4.7475e-014	6.1814e-013	7.0335e-014	9.5948e-006	
"13.10.2023 14:12:38.389"	1.2596e-011	6.5614e-014	3.3341e-013	4.7531e-014	5.0571e-013	8.9827e-014	9.5948e-006	
"13.10.2023 14:12:38.674"	1.2471e-011	6.5351e-014	3.4277e-013	4.9385e-014	4.3450e-013	7.6334e-014	9.6507e-006	
"13.10.2023 14:12:38.957"	1.2541e-011	6.6516e-014	3.4514e-013	5.0975e-014	3.7017e-013	5.9465e-014	9.6507e-006	
"13.10.2023 14:12:39.241"	1.2671e-011	6.3612e-014	3.3970e-013	4.9236e-014	3.3723e-013	4.8673e-014	9.6507e-006	
"13.10.2023 14:12:39.524"	1.2589e-011	6.6090e-014	3.4690e-013	5.0948e-014	3.0134e-013	3.8535e-014	9.6507e-006	
"13.10.2023 14:12:39.808"	1.2577e-011	6.4855e-014	3.5159e-013	5.2516e-014	2.6594e-013	3.0903e-014	9.6738e-006	
"13.10.2023 14:12:40.092"	1.2712e-011	6.4013e-014	3.4184e-013	5.0266e-014	2.4054e-013	2.6386e-014	9.6738e-006	
"13.10.2023 14:12:40.375"	1.2663e-011	6.4421e-014	3.4711e-013	5.1842e-014	2.1491e-013	2.2311e-014	9.6738e-006	
"13.10.2023 14:12:40.659"	1.2615e-011	6.5654e-014	3.5151e-013	5.3311e-014	1.9323e-013	1.8907e-014	9.6738e-006	
"13.10.2023 14:12:40.943"	1.2742e-011	6.5253e-014	3.4531e-013	5.1028e-014	1.7593e-013	1.7033e-014	9.6922e-006	
"13.10.2023 14:12:41.227"	1.2747e-011	6.5488e-014	3.5182e-013	5.2403e-014	1.6012e-013	1.4936e-014	9.6922e-006	
"13.10.2023 14:12:41.511"	1.2632e-011	6.5067e-014	3.5375e-013	5.3602e-014	1.4064e-013	1.2870e-014	9.6922e-006	
"13.10.2023 14:12:41.795"	1.2770e-011	6.3783e-014	3.4764e-013	5.0994e-014	1.2736e-013	1.1416e-014	9.6922e-006	
"13.10.2023 14:12:42.078"	1.2822e-011	6.4559e-014	3.5071e-013	5.2963e-014	1.1831e-013	1.0469e-014	9.7101e-006	
"13.10.2023 14:12:42.362"	1.2645e-011	6.4555e-014	3.5794e-013	5.4209e-014	1.0526e-013	9.4629e-015	9.7101e-006	
"13.10.2023 14:12:42.645"	1.2774e-011	6.4241e-014	3.5112e-013	5.1729e-014	9.6840e-014	8.2386e-015	9.7101e-006	
"13.10.2023 14:12:42.928"	1.2882e-011	6.4731e-014	3.5252e-013	5.2943e-014	8.7134e-014	7.5508e-015	9.7101e-006	
"13.10.2023 14:12:43.212"	1.2645e-011	6.6146e-014	3.5666e-013	5.4143e-014	7.6186e-014	6.6412e-015	9.7093e-006	
"13.10.2023 14:12:43.495"	1.2765e-011	6.2945e-014	3.5146e-013	5.2552e-014	6.9282e-014	5.9140e-015	9.7093e-006	
"13.10.2023 14:12:43.779"	1.2886e-011	6.3260e-014	3.5382e-013	5.3151e-014	6.4485e-014	5.8258e-015	9.7093e-006	
"13.10.2023 14:12:44.062"	1.2646e-011	6.5431e-014	3.5587e-013	5.4227e-014	5.7069e-014	4.9150e-015	9.7093e-006	
"13.10.2023 14:12:44.345"	1.2785e-011	6.3417e-014	3.5519e-013	5.3267e-014	5.1443e-014	4.4632e-015	9.7079e-006	
"13.10.2023 14:12:44.629"	1.2921e-011	6.2139e-014	3.5377e-013	5.3063e-014	4.7164e-014	4.0245e-015	9.7079e-006	
"13.10.2023 14:12:44.912"	1.2624e-011	6.4667e-014	3.5684e-013	5.4560e-014	4.2402e-014	3.8409e-015	9.7079e-006	
"13.10.2023 14:12:45.196"	1.2755e-011	6.3970e-014	3.5444e-013	5.3371e-014	3.8105e-014	3.3355e-015	9.7179e-006	
"13.10.2023 14:12:45.480"	1.2897e-011	6.1963e-014	3.4967e-013	5.2966e-014	3.5271e-014	3.0780e-015	9.7179e-006	
"13.10.2023 14:12:45.763"	1.2637e-011	6.4830e-014	3.5767e-013	5.4037e-014	3.1351e-014	2.4665e-015	9.7179e-006	
"13.10.2023 14:12:46.047"	1.2748e-011	6.3380e-014	3.5772e-013	5.4194e-014	2.8435e-014	2.5988e-015	9.7179e-006	
"13.10.2023 14:12:46.330"	1.2863e-011	6.3349e-014	3.5041e-013	5.2871e-014	2.6665e-014	2.3353e-015	9.7121e-006	
"13.10.2023 14:12:46.613"	1.2621e-011	6.4509e-014	3.5168e-013	5.4269e-014	2.3847e-014	2.0588e-015	9.7121e-006	
"13.10.2023 14:12:46.897"	1.2761e-011	6.3621e-014	3.5815e-013	5.4754e-014	2.1920e-014	1.8716e-015	9.7121e-006	
"13.10.2023 14:12:47.180"	1.2876e-011	6.2793e-014	3.5148e-013	5.2773e-014	2.0015e-014	1.6248e-015	9.7121e-006	
"13.10.2023 14:12:47.464"	1.2697e-011	6.4178e-014	3.5507e-013	5.3859e-014	1.8041e-014	1.6165e-015	9.7257e-006	
"13.10.2023 14:12:47.747"	1.2723e-011	6.3944e-014	3.6076e-013	5.5161e-014	1.6451e-014	1.4746e-015	9.7257e-006	
"13.10.2023 14:12:48.031"	1.2875e-011	6.2785e-014	3.4753e-013	5.2803e-014	1.4961e-014	1.2446e-015	9.7257e-006	
"13.10.2023 14:12:48.314"	1.2747e-011	6.5017e-014	3.5376e-013	5.3804e-014	1.3850e-014	1.3447e-015	9.7257e-006	
"13.10.2023 14:12:48.597"	1.2733e-011	6.2839e-014	3.5764e-013	5.4616e-014	1.2802e-014	1.0383e-015	9.7489e-006	
"13.10.2023 14:12:48.881"	1.2848e-011	6.2599e-014	3.4942e-013	5.2511e-014	1.1822e-014	1.2732e-015	9.7489e-006	
"13.10.2023 14:12:49.164"	1.2785e-011	6.4652e-014	3.5773e-013	5.4301e-014	1.1300e-014	1.1849e-015	9.7489e-006	
"13.10.2023 14:12:49.448"	1.2721e-011	6.4177e-014	3.5886e-013	5.5064e-014	9.9862e-015	9.5129e-016	9.7489e-006	
"13.10.2023 14:12:49.731"	1.2860e-011	6.3147e-014	3.5173e-013	5.2731e-014	9.1219e-015	7.7010e-016	9.7470e-006	
"13.10.2023 14:12:50.015"	1.2868e-011	6.4028e-014	3.5657e-013	5.3002e-014	8.6475e-015	8.2255e-016	9.7470e-006	
"13.10.2023 14:12:50.298"	1.2689e-011	6.3554e-014	3.5965e-013	5.5053e-014	8.1492e-015	8.9288e-016	9.7470e-006	
"13.10.2023 14:12:50.582"	1.2828e-011	6.2310e-014	3.5141e-013	5.3259e-014	7.3076e-015	6.4612e-016	9.7470e-006	
"13.10.2023 14:12:50.865"	1.2922e-011	6.5309e-014	3.5580e-013	5.3586e-014	7.0811e-015	7.3433e-016	9.7475e-006	
"13.10.2023 14:12:51.149"	1.2701e-011	6.4426e-014	3.6026e-013	5.5020e-014	6.5065e-015	3.9935e-016	9.7475e-006	
"13.10.2023 14:12:51.432"	1.2812e-011	6.3614e-014	3.5104e-013	5.2935e-014	6.0392e-015	5.9605e-016	9.7475e-006	
"13.10.2023 14:12:51.716"	1.2933e-011	6.2882e-014	3.5337e-013	5.3741e-014	5.5552e-015	5.6505e-016	9.7475e-006	
"13.10.2023 14:12:51.999"	1.2678e-011	6.3637e-014	3.6192e-013	5.5192e-014	5.4896e-015	6.1393e-016	9.7461e-006	
"13.10.2023 14:12:52.282"	1.2800e-011	6.4007e-014	3.5677e-013	5.3211e-014	4.8244e-015	3.8386e-016	9.7461e-006	
"13.10.2023 14:12:52.567"	1.2931e-011	6.1811e-014	3.5650e-013	5.3163e-014	4.9174e-015	4.7326e-016	9.7461e-006	
"13.10.2023 14:12:52.850"	1.2668e-011	6.3130e-014	3.5725e-013	5.4461e-014	4.5371e-015	5.5552e-016	9.7483e-006	
"13.10.2023 14:12:53.134"	1.2795e-011	6.2661e-014	3.5832e-013	5.3804e-014	4.6170e-015	3.6240e-016	9.7483e-006	
"13.10.2023 14:12:53.417"	1.2930e-011	6.3142e-014	3.5301e-013	5.3584e-014	4.3714e-015	4.8876e-016	9.7483e-006	
"13.10.2023 14:12:53.701"	1.2657e-011	6.4057e-014	3.5620e-013	5.3385e-014	3.7205e-015	3.9935e-016	9.7483e-006	
"13.10.2023 14:12:53.985"	1.2793e-011	6.3560e-014	3.5747e-013	5.3684e-014	3.9554e-015	3.9816e-016	9.7532e-006	
"13.10.2023 14:12:54.269"	1.2915e-011	6.3516e-014	3.5105e-013	5.3497e-014	3.9709e-015	4.1723e-016	9.7532e-006	
"13.10.2023 14:12:54.553"	1.2652e-011	6.5279e-014	3.5360e-013	5.4392e-014	3.5477e-015	3.7432e-016	9.7532e-006	
"13.10.2023 14:12:54.836"	1.2775e-011	6.3687e-014	3.5827e-013	5.3311e-014	3.5370e-015	2.8730e-016	9.7532e-006	
"13.10.2023 14:12:55.120"	1.2904e-011	6.3800e-014	3.5162e-013	5.2897e-014	3.2842e-015	3.4213e-016	9.7501e-006	
"13.10.2023 14:12:55.403"	1.2639e-011	6.4087e-014	3.5786e-013	5.4188e-014	3.3486e-015	3.7670e-016	9.7501e-006	
"13.10.2023 14:12:55.687"	1.2783e-011	6.2921e-014	3.6084e-013	5.5015e-014	3.1316e-015	3.7313e-016	9.7501e-006	
"13.10.2023 14:12:55.970"	1.2906e-011	6.2949e-014	3.5176e-013	5.3321e-014	3.1376e-015	3.2306e-016	9.7501e-006	
"13.10.2023 14:12:56.255"	1.2663e-011	6.4460e-014	3.5697e-013	5.4469e-014	2.8610e-015	3.4452e-016	9.7498e-006	
"13.10.2023 14:12:56.539"	1.2763e-011	6.3796e-014	3.5886e-013	5.5133e-014	2.9886e-015	4.3869e-016	9.7498e-006	
"13.10.2023 14:12:56.822"	1.2885e-011	6.2830e-014	3.4749e-013	5.2914e-014	3.0875e-015	3.8386e-016	9.7498e-006	
"13.10.2023 14:12:57.106"	1.2708e-011	6.5266e-014	3.5713e-013	5.4367e-014	2.9683e-015	6.2228e-016	9.7498e-006	
"13.10.2023 14:12:57.389"	1.2755e-011	6.3619e-014	3.5793e-013	5.5406e-014	2.9040e-015	3.1352e-016	9.7498e-006	
"13.10.2023 14:12:57.673"	1.2878e-011	6.3104e-014	3.5149e-013	5.2834e-014	2.8789e-015	4.7446e-016	9.7498e-006	
"13.10.2023 14:12:57.956"	1.2721e-011	6.3821e-014	3.5636e-013	5.3965e-014	2.8181e-015	4.5419e-016	9.7498e-006	
"13.10.2023 14:12:58.239"	1.2737e-011	6.2219e-014	3.5904e-013	5.5192e-014	2.6894e-015	2.3127e-016	9.7498e-006	
"13.10.2023 14:12:58.523"	1.2868e-011	6.1350e-014	3.4859e-013	5.2812e-014	2.6584e-015	3.9935e-016	9.7470e-006	
"13.10.2023 14:12:58.807"	1.2804e-011	6.4571e-014	3.5622e-013	5.4367e-014	2.6691e-015	2.5869e-016	9.7470e-006	
"13.10.2023 14:12:59.090"	1.2712e-011	6.4378e-014	3.5972e-013	5.4629e-014	2.5249e-015	2.9087e-016	9.7470e-006	
"13.10.2023 14:12:59.374"	1.2849e-011	6.2558e-014	3.5014e-013	5.2852e-014	2.6429e-015	3.6955e-016	9.7477e-006	
"13.10.2023 14:12:59.657"	1.2885e-011	6.5503e-014	3.5463e-013	5.3934e-014	2.4855e-015	3.7551e-016	9.7477e-006	
