"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"13.10.2023 14:10:06.130"	1.2641e-011	6.5573e-014	3.5431e-013	5.3855e-014	2.4665e-015	2.9802e-016	9.7087e-006	
"13.10.2023 14:10:06.414"	1.2704e-011	6.4186e-014	3.5831e-013	5.4846e-014	2.5344e-015	2.1577e-016	9.7087e-006	
"13.10.2023 14:10:06.698"	1.2848e-011	6.3898e-014	3.5269e-013	5.2500e-014	2.3294e-015	3.4213e-016	9.7087e-006	
"13.10.2023 14:10:06.981"	1.2707e-011	6.4758e-014	3.5057e-013	5.3699e-014	2.4128e-015	2.1458e-017	9.7087e-006	
"13.10.2023 14:10:07.264"	1.2715e-011	6.3823e-014	3.6029e-013	5.5421e-014	2.1589e-015	2.2173e-016	9.7066e-006	
"13.10.2023 14:10:07.549"	1.2828e-011	6.4117e-014	3.5038e-013	5.2405e-014	2.3210e-015	3.6836e-016	9.7066e-006	
"13.10.2023 14:10:07.832"	1.2761e-011	6.5658e-014	3.5333e-013	5.3666e-014	2.5010e-015	3.5286e-016	9.7066e-006	
"13.10.2023 14:10:08.115"	1.2699e-011	6.3986e-014	3.6249e-013	5.4145e-014	2.1947e-015	2.8730e-016	9.7066e-006	
"13.10.2023 14:10:08.399"	1.2829e-011	6.3268e-014	3.4942e-013	5.2104e-014	2.1422e-015	1.2159e-016	9.7106e-006	
"13.10.2023 14:10:08.682"	1.2815e-011	6.5701e-014	3.5547e-013	5.3523e-014	2.4057e-015	3.6121e-016	9.7106e-006	
"13.10.2023 14:10:08.967"	1.2685e-011	6.3492e-014	3.5540e-013	5.5090e-014	2.5272e-015	2.8730e-016	9.7106e-006	
"13.10.2023 14:10:09.251"	1.2819e-011	6.3781e-014	3.4889e-013	5.2599e-014	2.3866e-015	2.9445e-016	9.7106e-006	
"13.10.2023 14:10:09.535"	1.2845e-011	6.5394e-014	3.5433e-013	5.3810e-014	2.4438e-015	2.6584e-016	9.7093e-006	
"13.10.2023 14:10:09.818"	1.2686e-011	6.5427e-014	3.5651e-013	5.4796e-014	2.4700e-015	2.9683e-016	9.7093e-006	
"13.10.2023 14:10:10.103"	1.2813e-011	6.2655e-014	3.5124e-013	5.2644e-014	2.3329e-015	5.0068e-016	9.7093e-006	
"13.10.2023 14:10:10.386"	1.2849e-011	6.5530e-014	3.5048e-013	5.3624e-014	2.5225e-015	2.7418e-016	9.7093e-006	
"13.10.2023 14:10:10.670"	1.2686e-011	6.4669e-014	3.5765e-013	5.4863e-014	2.4009e-015	1.8954e-016	9.7050e-006	
"13.10.2023 14:10:10.954"	1.2804e-011	6.2875e-014	3.5207e-013	5.2556e-014	2.4545e-015	2.0385e-016	9.7050e-006	
"13.10.2023 14:10:11.238"	1.2898e-011	6.3647e-014	3.5183e-013	5.3361e-014	2.5761e-015	2.5034e-016	9.7050e-006	
"13.10.2023 14:10:11.522"	1.2670e-011	6.5313e-014	3.6022e-013	5.4713e-014	2.4986e-015	2.6226e-016	9.7050e-006	
"13.10.2023 14:10:11.806"	1.2794e-011	6.3279e-014	3.5014e-013	5.2688e-014	2.4057e-015	2.9087e-016	9.7107e-006	
"13.10.2023 14:10:12.089"	1.2912e-011	6.3608e-014	3.5330e-013	5.3522e-014	2.3782e-015	1.5974e-016	9.7107e-006	
"13.10.2023 14:10:12.373"	1.2653e-011	6.5164e-014	3.5975e-013	5.4966e-014	2.2745e-015	2.5988e-016	9.7107e-006	
"13.10.2023 14:10:12.656"	1.2788e-011	6.3498e-014	3.5493e-013	5.3170e-014	2.4808e-015	2.4438e-016	9.7242e-006	
"13.10.2023 14:10:12.939"	1.2910e-011	6.3533e-014	3.5243e-013	5.3544e-014	2.4796e-015	2.6941e-016	9.7242e-006	
"13.10.2023 14:10:13.223"	1.2654e-011	6.5246e-014	3.5690e-013	5.4498e-014	2.4879e-015	2.8372e-016	9.7242e-006	
"13.10.2023 14:10:13.506"	1.2775e-011	6.3366e-014	3.5700e-013	5.3540e-014	2.1327e-015	3.1710e-016	9.7242e-006	
"13.10.2023 14:10:13.789"	1.2878e-011	6.3794e-014	3.5040e-013	5.2201e-014	5.4946e-014	5.6768e-015	9.7454e-006	
"13.10.2023 14:10:14.073"	1.2390e-011	6.5946e-014	3.2892e-013	4.6052e-014	6.6804e-013	7.0940e-014	9.7454e-006	
"13.10.2023 14:10:14.356"	1.2325e-011	6.7532e-014	3.1754e-013	4.2910e-014	1.0251e-012	7.3801e-014	9.7454e-006	
"13.10.2023 14:10:14.640"	1.2320e-011	6.7138e-014	3.0809e-013	4.0498e-014	1.2153e-012	7.2893e-014	9.7454e-006	
"13.10.2023 14:10:14.923"	1.2045e-011	6.8076e-014	3.0434e-013	3.9650e-014	1.3030e-012	7.5407e-014	9.6963e-006	
"13.10.2023 14:10:15.207"	1.2097e-011	6.7663e-014	3.0667e-013	3.9776e-014	1.3703e-012	7.8053e-014	9.6963e-006	
"13.10.2023 14:10:15.490"	1.2186e-011	6.7813e-014	2.9737e-013	3.8046e-014	1.4338e-012	7.3610e-014	9.6963e-006	
"13.10.2023 14:10:15.774"	1.1990e-011	6.9934e-014	2.9706e-013	3.8343e-014	1.4775e-012	6.9213e-014	9.6963e-006	
"13.10.2023 14:10:16.057"	1.2047e-011	6.8881e-014	3.0188e-013	3.8743e-014	1.4941e-012	7.5386e-014	9.6320e-006	
"13.10.2023 14:10:16.341"	1.2133e-011	6.8077e-014	2.8908e-013	3.7050e-014	1.5501e-012	7.9106e-014	9.6320e-006	
"13.10.2023 14:10:16.624"	1.1990e-011	6.9186e-014	2.9490e-013	3.7006e-014	1.5766e-012	7.5577e-014	9.6320e-006	
"13.10.2023 14:10:16.907"	1.1988e-011	6.8358e-014	2.9181e-013	3.7673e-014	1.5766e-012	7.1475e-014	9.6320e-006	
"13.10.2023 14:10:17.191"	1.2076e-011	6.8055e-014	2.9047e-013	3.5963e-014	1.6186e-012	7.5828e-014	9.6315e-006	
"13.10.2023 14:10:17.474"	1.2023e-011	7.0448e-014	2.9227e-013	3.6307e-014	1.6487e-012	7.5011e-014	9.6315e-006	
"13.10.2023 14:10:17.758"	1.1950e-011	6.9142e-014	2.8846e-013	3.7083e-014	1.6341e-012	7.4637e-014	9.6315e-006	
"13.10.2023 14:10:18.041"	1.2037e-011	6.9154e-014	2.8784e-013	3.5495e-014	1.6735e-012	7.4372e-014	9.6315e-006	
"13.10.2023 14:10:18.325"	1.2052e-011	7.0653e-014	2.8878e-013	3.6050e-014	1.7045e-012	7.4089e-014	9.6318e-006	
"13.10.2023 14:10:18.608"	1.1912e-011	7.0016e-014	2.9176e-013	3.6628e-014	1.6802e-012	7.2793e-014	9.6318e-006	
"13.10.2023 14:10:18.891"	1.2000e-011	6.8657e-014	2.8661e-013	3.5130e-014	1.7129e-012	7.8020e-014	9.6318e-006	
"13.10.2023 14:10:19.175"	1.2076e-011	6.9671e-014	2.8716e-013	3.5606e-014	1.7408e-012	7.5935e-014	9.6318e-006	
"13.10.2023 14:10:19.458"	1.1875e-011	6.9354e-014	2.9120e-013	3.6606e-014	1.7169e-012	7.7005e-014	9.6263e-006	
"13.10.2023 14:10:19.742"	1.1979e-011	6.8370e-014	2.8529e-013	3.5169e-014	1.7351e-012	7.5452e-014	9.6263e-006	
"13.10.2023 14:10:20.026"	1.2068e-011	6.9843e-014	2.8634e-013	3.5563e-014	1.7657e-012	7.4634e-014	9.6263e-006	
"13.10.2023 14:10:20.309"	1.1852e-011	6.9617e-014	2.8723e-013	3.5823e-014	1.7372e-012	7.6421e-014	9.6193e-006	
"13.10.2023 14:10:20.592"	1.1951e-011	6.8513e-014	2.8552e-013	3.5099e-014	1.7516e-012	7.7032e-014	9.6193e-006	
"13.10.2023 14:10:20.876"	1.2055e-011	6.8394e-014	2.8590e-013	3.5697e-014	1.7868e-012	7.5712e-014	9.6193e-006	
"13.10.2023 14:10:21.159"	1.1844e-011	6.9928e-014	2.8807e-013	3.5937e-014	1.7497e-012	7.6624e-014	9.6193e-006	
"13.10.2023 14:10:21.443"	1.1955e-011	6.9985e-014	2.9004e-013	3.5241e-014	1.7713e-012	7.4861e-014	9.5953e-006	
"13.10.2023 14:10:21.726"	1.2038e-011	6.9108e-014	2.8633e-013	3.5085e-014	1.7966e-012	7.5183e-014	9.5953e-006	
"13.10.2023 14:10:22.010"	1.1826e-011	6.9865e-014	2.8586e-013	3.5784e-014	1.7677e-012	7.8765e-014	9.5953e-006	
"13.10.2023 14:10:22.293"	1.1929e-011	6.9672e-014	2.8887e-013	3.5204e-014	1.7785e-012	7.3897e-014	9.5953e-006	
"13.10.2023 14:10:22.577"	1.2026e-011	6.9615e-014	2.8054e-013	3.4661e-014	1.8024e-012	7.3623e-014	9.5907e-006	
"13.10.2023 14:10:22.861"	1.1805e-011	6.8919e-014	2.8567e-013	3.5657e-014	1.7796e-012	7.3585e-014	9.5907e-006	
"13.10.2023 14:10:23.144"	1.1903e-011	6.9503e-014	2.9172e-013	3.5978e-014	1.7817e-012	7.6179e-014	9.5907e-006	
"13.10.2023 14:10:23.428"	1.2010e-011	6.8232e-014	2.8566e-013	3.5025e-014	1.8091e-012	7.6093e-014	9.5907e-006	
"13.10.2023 14:10:23.711"	1.1790e-011	7.0798e-014	2.8679e-013	3.5695e-014	1.7909e-012	7.4022e-014	9.5921e-006	
"13.10.2023 14:10:23.995"	1.1917e-011	6.9518e-014	2.9017e-013	3.5665e-014	1.7899e-012	7.5460e-014	9.5921e-006	
"13.10.2023 14:10:24.279"	1.1998e-011	6.8362e-014	2.8164e-013	3.4917e-014	1.8153e-012	7.8417e-014	9.5921e-006	
"13.10.2023 14:10:24.564"	1.1793e-011	7.0126e-014	2.9006e-013	3.5600e-014	1.7978e-012	7.5804e-014	9.5921e-006	
"13.10.2023 14:10:24.848"	1.1904e-011	6.9348e-014	2.9098e-013	3.5914e-014	1.7925e-012	7.5046e-014	9.5930e-006	
"13.10.2023 14:10:25.132"	1.1990e-011	6.8578e-014	2.8729e-013	3.5004e-014	1.8189e-012	7.6294e-014	9.5930e-006	
"13.10.2023 14:10:25.415"	1.1820e-011	7.0546e-014	2.8628e-013	3.5410e-014	1.8023e-012	7.3974e-014	9.5930e-006	
"13.10.2023 14:10:25.700"	1.1875e-011	6.8666e-014	2.8980e-013	3.6404e-014	1.7931e-012	7.4405e-014	9.5930e-006	
"13.10.2023 14:10:25.983"	1.1988e-011	6.8622e-014	2.8432e-013	3.4918e-014	1.8194e-012	7.6269e-014	9.5944e-006	
"13.10.2023 14:10:26.267"	1.1857e-011	7.0603e-014	2.8536e-013	3.5348e-014	1.8199e-012	7.7049e-014	9.5944e-006	
"13.10.2023 14:10:26.551"	1.1882e-011	6.9613e-014	2.8611e-013	3.5693e-014	1.7997e-012	7.6587e-014	9.5944e-006	
"13.10.2023 14:10:26.834"	1.1969e-011	6.8515e-014	2.8114e-013	3.4719e-014	1.8174e-012	7.6210e-014	9.5938e-006	
"13.10.2023 14:10:27.118"	1.1868e-011	7.0293e-014	2.8583e-013	3.5440e-014	1.8251e-012	7.3106e-014	9.5938e-006	
"13.10.2023 14:10:27.401"	1.1862e-011	6.9081e-014	2.9104e-013	3.6161e-014	1.7966e-012	7.7198e-014	9.5938e-006	
"13.10.2023 14:10:27.684"	1.1979e-011	6.8801e-014	2.8462e-013	3.4633e-014	1.8174e-012	7.5538e-014	9.5938e-006	
"13.10.2023 14:10:27.968"	1.1942e-011	7.0266e-014	2.8573e-013	3.5163e-014	1.8354e-012	7.2812e-014	9.5954e-006	
"13.10.2023 14:10:28.251"	1.1831e-011	6.9913e-014	2.9061e-013	3.6000e-014	1.7951e-012	7.3550e-014	9.5954e-006	
"13.10.2023 14:10:28.535"	1.1942e-011	6.9536e-014	2.8378e-013	3.4596e-014	1.8173e-012	7.5284e-014	9.5954e-006	
"13.10.2023 14:10:28.818"	1.2020e-011	7.1072e-014	2.8443e-013	3.5396e-014	1.8375e-012	7.3482e-014	9.5954e-006	
"13.10.2023 14:10:29.102"	1.1847e-011	7.0823e-014	2.8822e-013	3.5712e-014	1.7971e-012	7.7597e-014	9.5934e-006	
"13.10.2023 14:10:29.385"	1.1949e-011	7.0030e-014	2.8403e-013	3.4776e-014	1.8122e-012	7.9436e-014	9.5934e-006	
"13.10.2023 14:10:29.669"	1.2030e-011	6.8361e-014	2.8413e-013	3.5305e-014	1.8360e-012	7.2886e-014	9.5934e-006	
"13.10.2023 14:10:29.952"	1.1825e-011	7.1333e-014	2.8815e-013	3.5938e-014	1.7997e-012	7.6744e-014	9.5934e-006	
"13.10.2023 14:10:30.236"	1.1929e-011	6.9210e-014	2.8736e-013	3.4591e-014	1.8137e-012	7.3578e-014	9.5895e-006	
"13.10.2023 14:10:30.519"	1.2016e-011	6.9101e-014	2.8575e-013	3.5010e-014	1.8360e-012	7.5585e-014	9.5895e-006	
"13.10.2023 14:10:30.803"	1.1800e-011	7.0614e-014	2.8587e-013	3.5904e-014	1.8007e-012	7.5686e-014	9.5895e-006	
"13.10.2023 14:10:31.086"	1.1918e-011	6.9068e-014	2.8851e-013	3.5324e-014	1.8096e-012	7.4341e-014	9.5895e-006	
"13.10.2023 14:10:31.369"	1.2013e-011	6.8137e-014	2.8250e-013	3.4888e-014	1.8302e-012	7.4205e-014	9.5924e-006	
"13.10.2023 14:10:31.653"	1.1792e-011	7.0563e-014	2.8610e-013	3.5347e-014	1.8003e-012	7.7191e-014	9.5924e-006	
"13.10.2023 14:10:31.936"	1.1906e-011	6.8307e-014	2.9038e-013	3.5567e-014	1.8121e-012	7.6087e-014	9.5924e-006	
"13.10.2023 14:10:32.220"	1.1991e-011	6.9627e-014	2.8182e-013	3.4743e-014	1.8312e-012	7.6175e-014	9.5924e-006	
"13.10.2023 14:10:32.503"	1.1781e-011	7.0205e-014	2.8803e-013	3.5701e-014	1.8121e-012	7.4065e-014	9.5940e-006	
"13.10.2023 14:10:32.786"	1.1905e-011	6.9956e-014	2.8871e-013	3.6194e-014	1.8086e-012	7.3665e-014	9.5940e-006	
"13.10.2023 14:10:33.070"	1.1988e-011	6.9328e-014	2.8438e-013	3.4405e-014	1.8297e-012	7.5608e-014	9.5940e-006	
"13.10.2023 14:10:33.353"	1.1797e-011	7.0987e-014	2.8759e-013	3.5556e-014	1.8142e-012	7.2200e-014	9.5917e-006	
"13.10.2023 14:10:33.637"	1.1886e-011	7.0305e-014	2.8761e-013	3.5824e-014	1.8023e-012	7.7083e-014	9.5917e-006	
"13.10.2023 14:10:33.921"	1.1988e-011	6.9757e-014	2.7615e-013	3.4934e-014	1.8266e-012	7.3165e-014	9.5917e-006	
"13.10.2023 14:10:34.204"	1.1857e-011	7.0598e-014	2.8555e-013	3.5334e-014	1.8271e-012	7.8197e-014	9.5917e-006	
"13.10.2023 14:10:34.487"	1.1888e-011	6.9151e-014	2.8995e-013	3.5999e-014	1.8029e-012	7.4504e-014	9.5952e-006	
"13.10.2023 14:10:34.771"	1.1952e-011	6.9617e-014	2.8302e-013	3.4534e-014	1.8246e-012	7.8648e-014	9.5952e-006	
