"Spectra International Data File"
"[Scan Data (Pressures in mbar)]"
"Time"	"Mass 2"	"Mass 8"	"Mass 4"	"Mass 12"	"Mass 40"	"Mass 43"	"CirrusPressure"	
"20.10.2023 11:35:08.616"	1.0692e-011	7.7703e-014	6.4844e-013	6.8359e-014	3.5334e-015	5.1379e-016	9.5797e-006	
"20.10.2023 11:35:08.899"	1.0659e-011	7.6355e-014	6.5687e-013	7.3498e-014	3.2723e-015	2.3961e-016	9.5839e-006	
"20.10.2023 11:35:09.183"	1.0739e-011	7.6431e-014	6.4068e-013	7.0789e-014	3.2520e-015	3.3140e-016	9.5839e-006	
"20.10.2023 11:35:09.466"	1.0755e-011	7.8149e-014	6.4865e-013	7.0414e-014	3.4440e-015	4.3631e-016	9.5839e-006	
"20.10.2023 11:35:09.750"	1.0661e-011	7.7123e-014	6.5499e-013	6.8789e-014	3.2318e-015	2.7418e-016	9.5839e-006	
"20.10.2023 11:35:10.033"	1.0739e-011	7.7223e-014	6.4462e-013	6.9292e-014	3.5262e-015	4.3869e-016	9.5887e-006	
"20.10.2023 11:35:10.317"	1.0805e-011	7.7216e-014	6.4833e-013	6.8056e-014	3.3713e-015	2.9087e-016	9.5887e-006	
"20.10.2023 11:35:10.600"	1.0648e-011	7.6776e-014	6.5361e-013	7.0626e-014	3.4011e-015	2.4200e-016	9.5887e-006	
"20.10.2023 11:35:10.883"	1.0723e-011	7.6872e-014	6.4128e-013	6.9634e-014	3.2342e-015	4.1247e-016	9.5845e-006	
"20.10.2023 11:35:11.167"	1.0804e-011	7.5237e-014	6.4537e-013	7.0118e-014	3.4166e-015	2.4200e-016	9.5845e-006	
"20.10.2023 11:35:11.450"	1.0642e-011	7.7087e-014	6.5588e-013	6.8461e-014	3.4166e-015	4.7684e-016	9.5845e-006	
"20.10.2023 11:35:11.734"	1.0709e-011	7.6912e-014	6.4916e-013	7.0131e-014	3.2926e-015	2.8134e-016	9.5845e-006	
"20.10.2023 11:35:12.017"	1.0783e-011	7.6335e-014	6.4618e-013	6.9571e-014	3.2008e-015	4.7446e-016	9.5981e-006	
"20.10.2023 11:35:12.301"	1.0617e-011	7.7297e-014	6.5145e-013	7.2986e-014	3.3415e-015	2.9087e-016	9.5981e-006	
"20.10.2023 11:35:12.584"	1.0707e-011	7.6523e-014	6.5525e-013	6.7286e-014	3.2962e-015	4.7684e-016	9.5981e-006	
"20.10.2023 11:35:12.868"	1.0770e-011	7.5633e-014	6.4281e-013	6.9665e-014	3.4213e-015	2.4915e-016	9.5981e-006	
"20.10.2023 11:35:13.151"	1.0593e-011	7.6838e-014	6.5038e-013	6.6413e-014	3.3248e-015	3.6597e-016	9.5931e-006	
"20.10.2023 11:35:13.435"	1.0689e-011	7.6963e-014	6.5434e-013	7.2809e-014	3.1984e-015	3.3140e-016	9.5931e-006	
"20.10.2023 11:35:13.718"	1.0781e-011	7.6447e-014	6.4210e-013	6.8906e-014	3.4118e-015	3.9935e-016	9.5931e-006	
"20.10.2023 11:35:14.001"	1.0630e-011	7.6566e-014	6.5126e-013	6.9317e-014	3.3629e-015	3.2187e-016	9.5931e-006	
"20.10.2023 11:35:14.285"	1.0687e-011	7.6534e-014	6.5514e-013	6.6727e-014	3.2497e-015	3.3260e-016	9.5842e-006	
"20.10.2023 11:35:14.568"	1.0760e-011	7.5916e-014	6.4419e-013	7.0015e-014	3.3283e-015	3.1591e-016	9.5842e-006	
"20.10.2023 11:35:14.852"	1.0679e-011	7.7708e-014	6.4521e-013	6.9723e-014	3.3546e-015	6.3062e-016	9.5842e-006	
"20.10.2023 11:35:15.135"	1.0677e-011	7.6855e-014	6.5441e-013	6.9779e-014	3.2735e-015	3.3260e-016	9.5842e-006	
"20.10.2023 11:35:15.420"	1.0764e-011	7.6149e-014	6.4107e-013	7.0663e-014	3.2866e-015	3.7670e-016	9.5851e-006	
"20.10.2023 11:35:15.704"	1.0691e-011	7.7711e-014	6.4749e-013	6.8210e-014	3.2771e-015	3.2425e-016	9.5851e-006	
"20.10.2023 11:35:15.988"	1.0680e-011	7.6502e-014	6.5547e-013	7.0158e-014	3.2175e-015	3.1352e-016	9.5851e-006	
"20.10.2023 11:35:16.271"	1.0759e-011	7.5363e-014	6.4065e-013	7.0940e-014	3.2473e-015	3.5763e-016	9.5851e-006	
"20.10.2023 11:35:16.556"	1.0660e-011	7.8218e-014	6.3173e-013	6.6644e-014	4.1336e-013	7.4061e-014	9.5855e-006	
"20.10.2023 11:35:16.840"	1.0227e-011	7.9801e-014	5.9921e-013	6.9287e-014	1.3473e-012	7.3958e-014	9.5855e-006	
"20.10.2023 11:35:17.125"	1.0064e-011	8.1264e-014	5.6460e-013	9.3326e-014	1.8673e-012	7.1009e-014	9.5855e-006	
"20.10.2023 11:35:17.408"	9.9576e-012	8.3323e-014	5.5871e-013	9.2891e-014	2.1835e-012	7.6495e-014	9.5855e-006	
"20.10.2023 11:35:17.691"	9.8149e-012	8.2705e-014	5.5378e-013	9.1783e-014	2.3256e-012	7.4538e-014	9.5698e-006	
"20.10.2023 11:35:17.975"	9.7971e-012	8.2820e-014	5.3881e-013	9.1515e-014	2.4712e-012	7.3346e-014	9.5698e-006	
"20.10.2023 11:35:18.258"	9.8154e-012	8.2561e-014	5.4233e-013	9.1720e-014	2.6002e-012	7.4840e-014	9.5698e-006	
"20.10.2023 11:35:18.542"	9.6773e-012	8.3094e-014	5.4234e-013	9.1740e-014	2.6424e-012	7.6819e-014	9.5415e-006	
"20.10.2023 11:35:18.825"	9.6829e-012	8.2757e-014	5.3287e-013	9.0626e-014	2.7199e-012	7.4975e-014	9.5415e-006	
"20.10.2023 11:35:19.109"	9.7247e-012	8.2397e-014	5.3032e-013	9.0619e-014	2.8031e-012	7.4713e-014	9.5415e-006	
"20.10.2023 11:35:19.392"	9.5844e-012	8.3076e-014	5.3487e-013	9.0856e-014	2.8190e-012	7.3727e-014	9.5415e-006	
"20.10.2023 11:35:19.675"	9.6212e-012	8.4182e-014	5.2828e-013	8.9873e-014	2.8801e-012	7.7754e-014	9.5448e-006	
