"epoch","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss__MAX"
"49","0","0","0","0.0072547998279333115","0.0072547998279333115","0.0072547998279333115","","","","","",""
"99","1","1","1","0.0015762298135086894","0.0015762298135086894","0.0015762298135086894","","","","","",""
"149","2","2","2","0.0008655903511680663","0.0008655903511680663","0.0008655903511680663","","","","","",""
"199","3","3","3","0.000547736301086843","0.000547736301086843","0.000547736301086843","3","3","3","0.00031488764216192067","0.00031488764216192067","0.00031488764216192067"
"299","5","5","5","0.0003112535923719406","0.0003112535923719406","0.0003112535923719406","5","5","5","0.0001211523194797337","0.0001211523194797337","0.0001211523194797337"
"399","7","7","7","0.00021945929620414972","0.00021945929620414972","0.00021945929620414972","7","7","7","0.000059553771279752254","0.000059553771279752254","0.000059553771279752254"
"449","","","","","","","8","8","8","0.000043842843297170475","0.000043842843297170475","0.000043842843297170475"
"599","11","11","11","0.00012497129500843585","0.00012497129500843585","0.00012497129500843585","","","","","",""
"649","12","12","12","0.00010990011651301757","0.00010990011651301757","0.00010990011651301757","","","","","",""
"699","","","","","","","13","13","13","0.000012366163900878746","0.000012366163900878746","0.000012366163900878746"
"749","","","","","","","14","14","14","0.000009959347153198905","0.000009959347153198905","0.000009959347153198905"
"799","","","","","","","15","15","15","0.000008099420483631548","0.000008099420483631548","0.000008099420483631548"
"849","16","16","16","0.00006963089253986254","0.00006963089253986254","0.00006963089253986254","","","","","",""
"999","","","","","","","19","19","19","0.000003863062829623232","0.000003863062829623232","0.000003863062829623232"
